Time, 0.0, Pos_X, 0.0, Pos_Y, 0.0, Pos_Z, 0.0 
Time, 0.0, Pos_X, 0.0, Pos_Y, 0.0, Pos_Z, 0.0 
Time, 0.002, Pos_X, 1.5644966768638022e-09, Pos_Y, 8.226044432681376e-10, Pos_Z, 1.4244787337758385e-09 
Time, 0.004, Pos_X, 1.3234904959804267e-08, Pos_Y, 6.939680841602411e-09, Pos_Z, 1.2059634688985166e-08 
Time, 0.006, Pos_X, 5.580843546620832e-08, Pos_Y, 2.9170550548336413e-08, Pos_Z, 5.0890563521177955e-08 
Time, 0.008, Pos_X, 1.6756994491914305e-07, Pos_Y, 8.729900145318147e-08, Pos_Z, 1.52897053343971e-07 
Time, 0.01, Pos_X, 4.0930987115247923e-07, Pos_Y, 2.125235452852248e-07, Pos_Z, 3.73634997853762e-07 
Time, 0.012, Pos_X, 8.688813931352369e-07, Pos_Y, 4.49617730103656e-07, Pos_Z, 7.933581251731435e-07 
Time, 0.014, Pos_X, 1.6649948461616307e-06, Pos_Y, 8.586527841592013e-07, Pos_Z, 1.5203814728606973e-06 
Time, 0.016, Pos_X, 2.9499152236102366e-06, Pos_Y, 1.5161254316150296e-06, Pos_Z, 2.6933554252116764e-06 
Time, 0.018, Pos_X, 4.910733178226661e-06, Pos_Y, 2.515336405736135e-06, Pos_Z, 4.4821314887926785e-06 
Time, 0.02, Pos_X, 7.76893162848948e-06, Pos_Y, 3.965897249580308e-06, Pos_Z, 7.086952889752721e-06 
Time, 0.022, Pos_X, 1.1778064840359085e-05, Pos_Y, 5.992301843746321e-06, Pos_Z, 1.073581067439151e-05 
Time, 0.024, Pos_X, 1.7219514579299302e-05, Pos_Y, 8.731569129182412e-06, Pos_Z, 1.5679955946812777e-05 
Time, 0.026, Pos_X, 2.4396473075966735e-05, Pos_Y, 1.2330058520956856e-05, Pos_Z, 2.2187728929740904e-05 
Time, 0.028, Pos_X, 3.3626486545617875e-05, Pos_Y, 1.6939649967992932e-05, Pos_Z, 3.0537049525757135e-05 
Time, 0.03, Pos_X, 4.52330487535314e-05, Pos_Y, 2.2713549947485105e-05, Pos_Z, 4.1007072156509225e-05 
Time, 0.032, Pos_X, 5.953685103906301e-05, Pos_Y, 2.9802032687572108e-05, Pos_Z, 5.386961380412134e-05 
Time, 0.034, Pos_X, 7.68473427523665e-05, Pos_Y, 3.834843713868815e-05, Pos_Z, 6.938099297900131e-05 
Time, 0.036, Pos_X, 9.745521291250346e-05, Pos_Y, 4.848572466272273e-05, Pos_Z, 8.777487211611248e-05 
Time, 0.038, Pos_X, 0.000121626294279626, Pos_Y, 6.033382331836255e-05, Pos_Z, 0.00010925658135703617 
Time, 0.04, Pos_X, 0.00014959722734066914, Pos_Y, 7.399789174790611e-05, Pos_Z, 0.00013399923453425832 
Time, 0.042, Pos_X, 0.00018157302456700292, Pos_Y, 8.95675456018746e-05, Pos_Z, 0.00016214173810611646 
Time, 0.044, Pos_X, 0.000217726465323414, Pos_Y, 0.00010711699840222555, Pos_Z, 0.0001937886218911808 
Time, 0.046, Pos_X, 0.00025819910089570046, Pos_Y, 0.00012670599137954406, Pos_Z, 0.00022901149316516693 
Time, 0.048, Pos_X, 0.00030310357456338904, Pos_Y, 0.00014838133070289834, Pos_Z, 0.0002678517780863206 
Time, 0.05, Pos_X, 0.00035252687137716794, Pos_Y, 0.00017217884674187797, Pos_Z, 0.00031032436042386236 
Time, 0.052, Pos_X, 0.00040653409852279887, Pos_Y, 0.00019812557744761054, Pos_Z, 0.00035642174629591444 
Time, 0.054, Pos_X, 0.0004651724469025498, Pos_Y, 0.00022624198935967295, Pos_Z, 0.0004061184089044287 
Time, 0.056, Pos_X, 0.000528475078754776, Pos_Y, 0.0002565441246044956, Pos_Z, 0.0004593750545592804 
Time, 0.058, Pos_X, 0.0005964646856248465, Pos_Y, 0.00028904556551952285, Pos_Z, 0.0005161425489210508 
Time, 0.06, Pos_X, 0.0006691565014380157, Pos_Y, 0.0003237591090407052, Pos_Z, 0.0005763653226113134 
Time, 0.062, Pos_X, 0.0007465607353243371, Pos_Y, 0.00036069813021349077, Pos_Z, 0.0006399842463194603 
Time, 0.064, Pos_X, 0.000828684415698374, Pos_Y, 0.00039987763141269755, Pos_Z, 0.0007069389519747393 
Time, 0.066, Pos_X, 0.000915532643588766, Pos_Y, 0.000441314989064705, Pos_Z, 0.0007771696134279676 
Time, 0.068, Pos_X, 0.0010071093243938325, Pos_Y, 0.0004850304366302337, Pos_Z, 0.0008506182465716909 
Time, 0.07, Pos_X, 0.0011034174427398736, Pos_Y, 0.0005310472947324899, Pos_Z, 0.0009272295975280647 
Time, 0.072, Pos_X, 0.0012044589634563124, Pos_Y, 0.0005793920039275873, Pos_Z, 0.0010069516982510651 
Time, 0.074, Pos_X, 0.0013102344402145807, Pos_Y, 0.000630093991992656, Pos_Z, 0.0010897361778775885 
