Time, 0.0, Pos_X, 0.0, Pos_Y, 0.0, Pos_Z, 0.0 
Time, 0.0, Pos_X, 0.0, Pos_Y, 0.0, Pos_Z, 0.0 
Time, 0.002, Pos_X, -1.866258264776035e-09, Pos_Y, -3.7225015578360236e-10, Pos_Z, -2.2351125349929214e-09 
Time, 0.004, Pos_X, -1.5831024675193314e-08, Pos_Y, -3.1906689523800325e-09, Pos_Z, -1.8860450100082405e-08 
Time, 0.006, Pos_X, -6.69599656688977e-08, Pos_Y, -1.3658540457938945e-08, Pos_Z, -7.929207082425939e-08 
Time, 0.008, Pos_X, -2.0166362823150416e-07, Pos_Y, -4.1657105449358705e-08, Pos_Z, -2.3730706584507915e-07 
Time, 0.01, Pos_X, -4.94017830252196e-07, Pos_Y, -1.0337539859410123e-07, Pos_Z, -5.776454577288007e-07 
Time, 0.012, Pos_X, -1.051560831967185e-06, Pos_Y, -2.2295855004328477e-07, Pos_Z, -1.2217559314948606e-06 
Time, 0.014, Pos_X, -2.020152144088875e-06, Pos_Y, -4.340868041803657e-07, Pos_Z, -2.332251199272985e-06 
Time, 0.016, Pos_X, -3.5874254853752514e-06, Pos_Y, -7.813760657089468e-07, Pos_Z, -4.115604929720305e-06 
Time, 0.018, Pos_X, -5.9843657780955334e-06, Pos_Y, -1.3214784935685996e-06, Pos_Z, -6.822642127250979e-06 
Time, 0.02, Pos_X, -9.484595685192453e-06, Pos_Y, -2.12376203251127e-06, Pos_Z, -1.0746467502215378e-05 
Time, 0.022, Pos_X, -1.4401088963670201e-05, Pos_Y, -3.270461821011287e-06, Pos_Z, -1.6217647670905372e-05 
Time, 0.024, Pos_X, -2.1080225667748893e-05, Pos_Y, -4.856233863180087e-06, Pos_Z, -2.3596683914254e-05 
Time, 0.026, Pos_X, -2.9893359257355916e-05, Pos_Y, -6.987089650177257e-06, Pos_Z, -3.326408188634952e-05 
Time, 0.028, Pos_X, -4.122630580751221e-05, Pos_Y, -9.778742796013517e-06, Pos_Z, -4.5608583544269046e-05 
Time, 0.03, Pos_X, -5.5467412225464866e-05, Pos_Y, -1.3354458885390129e-05, Pos_Z, -6.1014334672963966e-05 
Time, 0.032, Pos_X, -7.299504494565537e-05, Pos_Y, -1.7842559439412093e-05, Pos_Z, -7.98479086227471e-05 
Time, 0.034, Pos_X, -9.416539150118984e-05, Pos_Y, -2.337377202397463e-05, Pos_Z, -0.00010244612895797267 
Time, 0.036, Pos_X, -0.00011930144004276842, Pos_Y, -3.0078624915575534e-05, Pos_Z, -0.00012910555117825524 
Time, 0.038, Pos_X, -0.00014868386996269765, Pos_Y, -3.80850830005912e-05, Pos_Z, -0.00016007428373611594 
Time, 0.04, Pos_X, -0.00018254437887564478, Pos_Y, -4.7516579424658194e-05, Pos_Z, -0.00019554656359384163 
Time, 0.042, Pos_X, -0.0002210617108472428, Pos_Y, -5.849054908558791e-05, Pos_Z, -0.00023566021890664067 
Time, 0.044, Pos_X, -0.00026436039026017156, Pos_Y, -7.111751953419823e-05, Pos_Z, -0.00028049690579385315 
Time, 0.046, Pos_X, -0.00031251192623337436, Pos_Y, -8.55007519443235e-05, Pos_Z, -0.0003300847476146977 
Time, 0.048, Pos_X, -0.0003655380701503762, Pos_Y, -0.00010173639463731027, Pos_Z, -0.0003844028294450157 
Time, 0.05, Pos_X, -0.0004234156414645267, Pos_Y, -0.00011991407441743951, Pos_Z, -0.00044338696194023253 
Time, 0.052, Pos_X, -0.0004860823857484227, Pos_Y, -0.00014011782799674507, Pos_Z, -0.0005069361255663119 
Time, 0.054, Pos_X, -0.0005534433416097685, Pos_Y, -0.0001624272507095362, Pos_Z, -0.0005749190684289791 
Time, 0.056, Pos_X, -0.0006253773148540214, Pos_Y, -0.00018691882371853975, Pos_Z, -0.000647180611869769 
Time, 0.058, Pos_X, -0.0007017430546730756, Pos_Y, -0.0002136672831740098, Pos_Z, -0.0007235474223597224 
Time, 0.06, Pos_X, -0.0007823848697176443, Pos_Y, -0.00024274687541133049, Pos_Z, -0.0008038330982485678 
Time, 0.062, Pos_X, -0.0008671375823461506, Pos_Y, -0.0002742324973907785, Pos_Z, -0.00088784242168277 
Time, 0.064, Pos_X, -0.0009558306989970851, Pos_Y, -0.00030820070413419237, Pos_Z, -0.0009753747386725757 
Time, 0.066, Pos_X, -0.001048291804831039, Pos_Y, -0.000344730601127419, Pos_Z, -0.0010662264732029987 
Time, 0.068, Pos_X, -0.0011443491973153514, Pos_Y, -0.00038390457700996847, Pos_Z, -0.0011601928293886584 
Time, 0.07, Pos_X, -0.0012438337908673637, Pos_Y, -0.0004258088915552602, Pos_Z, -0.0012570687863756804 
Time, 0.072, Pos_X, -0.0013465803990058817, Pos_Y, -0.00047053413600774813, Pos_Z, -0.0013566495039419185 
Time, 0.074, Pos_X, -0.0014524284869214484, Pos_Y, -0.0005181755429595085, Pos_Z, -0.0014587302773556294 
Time, 0.076, Pos_X, -0.0015612225048271672, Pos_Y, -0.0005688331781047414, Pos_Z, -0.0015631061864238899 
Time, 0.078, Pos_X, -0.0016728118964982911, Pos_Y, -0.0006226120420125724, Pos_Z, -0.0016695715366938672 
Time, 0.08, Pos_X, -0.0017870508656646512, Pos_Y, -0.0006796220726573082, Pos_Z, -0.0017779191940763106 
Time, 0.082, Pos_X, -0.0019037979299071485, Pos_Y, -0.000739978059207293, Pos_Z, -0.0018879398781532367 
Time, 0.084, Pos_X, -0.002022915328216568, Pos_Y, -0.000803799481481914, Pos_Z, -0.001999421447060579 
Time, 0.086, Pos_X, -0.0021442683563651617, Pos_Y, -0.0008712103084279693, Pos_Z, -0.002112148243994227 
Time, 0.088, Pos_X, -0.002267724653117445, Pos_Y, -0.0009423387885859899, Pos_Z, -0.0022259005584928443 
Time, 0.09, Pos_X, -0.0023931535097585274, Pos_Y, -0.0010173172400072552, Pos_Z, -0.002340454284653784 
Time, 0.092, Pos_X, -0.00252042524207297, Pos_Y, -0.0010962818541047292, Pos_Z, -0.002455580813531929 
Time, 0.094, Pos_X, -0.0026494106528354585, Pos_Y, -0.001179372500406654, Pos_Z, -0.0025710471438348806 
Time, 0.096, Pos_X, -0.0027799805733178242, Pos_Y, -0.0012667325532579085, Pos_Z, -0.0026866162018067494 
Time, 0.098, Pos_X, -0.0029120054943339744, Pos_Y, -0.0013585087509191927, Pos_Z, -0.0028020473062800497 
Time, 0.1, Pos_X, -0.0030453552978793115, Pos_Y, -0.001454851046502393, Pos_Z, -0.0029170968120024315 
Time, 0.102, Pos_X, -0.003179899077445071, Pos_Y, -0.0015559124718493335, Pos_Z, -0.003031518964253277 
Time, 0.104, Pos_X, -0.0033155050680189284, Pos_Y, -0.0016618490611781571, Pos_Z, -0.0031450669151229 
Time, 0.106, Pos_X, -0.0034520406517364087, Pos_Y, -0.001772819814661256, Pos_Z, -0.003257493901113747 
Time, 0.108, Pos_X, -0.0035893724112427893, Pos_Y, -0.0018889867019648368, Pos_Z, -0.0033685545976029525 
Time, 0.11, Pos_X, -0.0037273662598607, Pos_Y, -0.0020105147027426524, Pos_Z, -0.00347800663018107 
Time, 0.112, Pos_X, -0.0038658876291102055, Pos_Y, -0.0021375718732846182, Pos_Z, -0.0035856122196824556 
Time, 0.114, Pos_X, -0.004004801676501542, Pos_Y, -0.0022703294323622295, Pos_Z, -0.0036911399562877785 
Time, 0.116, Pos_X, -0.004143973497739158, Pos_Y, -0.002408961855906325, Pos_Z, -0.003794366703883301 
Time, 0.118, Pos_X, -0.0042832683537921785, Pos_Y, -0.002553646964282728, Pos_Z, -0.0038950796397538693 
Time, 0.12, Pos_X, -0.00442255190597929, Pos_Y, -0.002704565981563448, Pos_Z, -0.003993078400268625 
