Time, 0.0, Pos_X, 0.0, Pos_Y, 0.0, Pos_Z, 0.0 
Time, 0.0, Pos_X, 0.0, Pos_Y, 0.0, Pos_Z, 0.0 
Time, 0.002, Pos_X, -1.0728545888758633e-09, Pos_Y, -1.1059912712467031e-09, Pos_Z, 1.4993354268136319e-09 
Time, 0.004, Pos_X, -9.145791393183098e-09, Pos_Y, -9.498506552565185e-09, Pos_Z, 1.2693234377443865e-08 
Time, 0.006, Pos_X, -3.8916728208593917e-08, Pos_Y, -4.076052046302286e-08, Pos_Z, 5.356956600623414e-08 
Time, 0.008, Pos_X, -1.1799034984532224e-07, Pos_Y, -1.246647506247423e-07, Pos_Z, 1.6097758284733398e-07 
Time, 0.01, Pos_X, -2.911432957416272e-07, Pos_Y, -3.1034498140071967e-07, Pos_Z, 3.9348842557818804e-07 
Time, 0.012, Pos_X, -6.245694970382206e-07, Pos_Y, -6.716951519160863e-07, Pos_Z, 8.357884677136868e-07 
Time, 0.014, Pos_X, -1.20989270326285e-06, Pos_Y, -1.3127406768534775e-06, Pos_Z, 1.6022850310285705e-06 
Time, 0.016, Pos_X, -2.1676831365331478e-06, Pos_Y, -2.372649117799314e-06, Pos_Z, 2.8395730965832734e-06 
Time, 0.018, Pos_X, -3.65018261784395e-06, Pos_Y, -4.030005395556921e-06, Pos_Z, 4.727417737912549e-06 
Time, 0.02, Pos_X, -5.842941946160833e-06, Pos_Y, -6.505969784856172e-06, Pos_Z, 7.477968127846961e-06 
Time, 0.022, Pos_X, -8.965117969615692e-06, Pos_Y, -1.0065974355566054e-05, Pos_Z, 1.1333037894088686e-05 
Time, 0.024, Pos_X, -1.3268250737871791e-05, Pos_Y, -1.501969324640787e-05, Pos_Z, 1.6559436398775913e-05 
Time, 0.026, Pos_X, -1.9033473933596715e-05, Pos_Y, -2.171914510439967e-05, Pos_Z, 2.3442511495777974e-05 
Time, 0.028, Pos_X, -2.6567225408012634e-05, Pos_Y, -3.0554932459217464e-05, Pos_Z, 3.227827257171177e-05 
Time, 0.03, Pos_X, -3.6195649848890806e-05, Pos_Y, -4.195078003754598e-05, Pos_Z, 4.336462060511371e-05 
Time, 0.032, Pos_X, -4.825801049212694e-05, Pos_Y, -5.6356698749641644e-05, Pos_Z, 5.699231623393141e-05 
