Time, 0.0, Pos_X, 0.0, Pos_Y, 0.0, Pos_Z, 0.0 
Time, 0.0, Pos_X, 0.0, Pos_Y, 0.0, Pos_Z, 0.0 
Time, 0.002, Pos_X, 7.320697251961831e-11, Pos_Y, 6.36371230454809e-11, Pos_Z, -6.216977104695411e-11 
Time, 0.004, Pos_X, 6.139475926723273e-10, Pos_Y, 5.743173996856959e-10, Pos_Z, -5.742247360220868e-10 
Time, 0.006, Pos_X, 2.561787308451537e-09, Pos_Y, 2.598045112908971e-09, Pos_Z, -2.6569208403751636e-09 
Time, 0.008, Pos_X, 7.604908787944663e-09, Pos_Y, 8.358933719685495e-09, Pos_Z, -8.717099122359426e-09 
Time, 0.01, Pos_X, 1.83528124082813e-08, Pos_Y, 2.182208974029626e-08, Pos_Z, -2.3132220015186013e-08 
Time, 0.012, Pos_X, 3.8463375375531503e-08, Pos_Y, 4.93678292365515e-08, Pos_Z, -5.30388823754049e-08 
Time, 0.014, Pos_X, 7.271204930461482e-08, Pos_Y, 1.0053060983227059e-07, Pos_Z, -1.0918239145318237e-07 
Time, 0.016, Pos_X, 1.2698924998336526e-07, Pos_Y, 1.8876505510195164e-07, Pos_Z, -2.0676746729282883e-07 
Time, 0.018, Pos_X, 2.0821451265264957e-07, Pos_Y, 3.3218759466239503e-07, Pos_Z, -3.662344289846809e-07 
Time, 0.02, Pos_X, 3.241595147162576e-07, Pos_Y, 5.542381913744019e-07, Pos_Z, -6.138796225798407e-07 
Time, 0.022, Pos_X, 4.83185276527548e-07, Pos_Y, 8.841986417337504e-07, Pos_Z, -9.822424438681181e-07 
Time, 0.024, Pos_X, 6.939013248545674e-07, Pos_Y, 1.3575056403685593e-06, Pos_Z, -1.5101920996462614e-06 
Time, 0.026, Pos_X, 9.647621186745623e-07, Pos_Y, 2.015815131859963e-06, Pos_Z, -2.2426695229337656e-06 
Time, 0.028, Pos_X, 1.3036246635085415e-06, Pos_Y, 2.9067838770584395e-06, Pos_Z, -3.2300622679018405e-06 
Time, 0.03, Pos_X, 1.7172935100465983e-06, Pos_Y, 4.083568145920446e-06, Pos_Z, -4.527227098636238e-06 
Time, 0.032, Pos_X, 2.211084095239434e-06, Pos_Y, 5.604063639420154e-06, Pos_Z, -6.192223708419606e-06 
Time, 0.034, Pos_X, 2.788435175349833e-06, Pos_Y, 7.529934952964517e-06, Pos_Z, -8.28483999512723e-06 
Time, 0.036, Pos_X, 3.4505914787544894e-06, Pos_Y, 9.925503458729815e-06, Pos_Z, -1.0865015958993935e-05 
Time, 0.038, Pos_X, 4.196362970757506e-06, Pos_Y, 1.2856562579173234e-05, Pos_Z, -1.3991288390933081e-05 
Time, 0.04, Pos_X, 5.021957200021182e-06, Pos_Y, 1.638919850318868e-05, Pos_Z, -1.771935007041535e-05 
Time, 0.042, Pos_X, 5.920880294922567e-06, Pos_Y, 2.0588689394067427e-05, Pos_Z, -2.2100816845375843e-05 
