Time, 0.0, Pos_X, 0.0, Pos_Y, 0.0, Pos_Z, 0.0 
Time, 0.0, Pos_X, 0.0, Pos_Y, 0.0, Pos_Z, 0.0 
Time, 0.002, Pos_X, -1.9543733030545745e-10, Pos_Y, 3.092421210155982e-11, Pos_Z, 7.933968993698965e-10 
Time, 0.004, Pos_X, -1.7657811243892487e-09, Pos_Y, 2.702938136461996e-10, Pos_Z, 6.7544560603882845e-09 
Time, 0.006, Pos_X, -8.006322635888742e-09, Pos_Y, 1.1802685258635592e-09, Pos_Z, 2.8681522160770733e-08 
Time, 0.008, Pos_X, -2.5849960719814892e-08, Pos_Y, 3.6626483468522434e-09, Pos_Z, 8.671429274254775e-08 
Time, 0.01, Pos_X, -6.779600092693245e-08, Pos_Y, 9.21760341650901e-09, Pos_Z, 2.1321619401794377e-07 
Time, 0.012, Pos_X, -1.5423800133419104e-07, Pos_Y, 2.008488400970323e-08, Pos_Z, 4.55462524329051e-07 
Time, 0.014, Pos_X, -3.1616846757060216e-07, Pos_Y, 3.9323776965768606e-08, Pos_Z, 8.778997045635019e-07 
Time, 0.016, Pos_X, -5.981701926578444e-07, Pos_Y, 7.078448350027509e-08, Pos_Z, 1.563639191849181e-06 
Time, 0.018, Pos_X, -1.0615382294988554e-06, Pos_Y, 1.189375657852732e-07, Pos_Z, 2.6149645743830664e-06 
Time, 0.02, Pos_X, -1.7873302314407471e-06, Pos_Y, 1.8858489234563867e-07, Pos_Z, 4.15274812174889e-06 
Time, 0.022, Pos_X, -2.8791107907175814e-06, Pos_Y, 2.8450413620392854e-07, Pos_Z, 6.314568729891387e-06 
Time, 0.024, Pos_X, -4.465182359588232e-06, Pos_Y, 4.110103997878064e-07, Pos_Z, 9.25138301227452e-06 
Time, 0.026, Pos_X, -6.7000869961182656e-06, Pos_Y, 5.714192343741563e-07, Pos_Z, 1.3122709673438055e-05 
Time, 0.028, Pos_X, -9.765198650450395e-06, Pos_Y, 7.674659912426099e-07, Pos_Z, 1.8090507187515756e-05 
Time, 0.03, Pos_X, -1.3868223463993029e-05, Pos_Y, 9.987975150626318e-07, Pos_Z, 2.4312115944388795e-05 
Time, 0.032, Pos_X, -1.9241583158783366e-05, Pos_Y, 1.2625889391258039e-06, Pos_Z, 3.1932587082428426e-05 
Time, 0.034, Pos_X, -2.6139793436944288e-05, Pos_Y, 1.5533167057597332e-06, Pos_Z, 4.1076744088677024e-05 
Time, 0.036, Pos_X, -3.4835962342832824e-05, Pos_Y, 1.8627126124093693e-06, Pos_Z, 5.184157640791757e-05 
Time, 0.038, Pos_X, -4.561764451628065e-05, Pos_Y, 2.179888978785929e-06, Pos_Z, 6.428942678937486e-05 
Time, 0.04, Pos_X, -5.878250073274828e-05, Pos_Y, 2.4915789226487777e-06, Pos_Z, 7.844226649708577e-05 
Time, 0.042, Pos_X, -7.463385940546623e-05, Pos_Y, 2.7827115660277834e-06, Pos_Z, 9.427738469371776e-05 
Time, 0.044, Pos_X, -9.347596683925843e-05, Pos_Y, 3.037706098479969e-06, Pos_Z, 0.00011172475014437846 
Time, 0.046, Pos_X, -0.00011560902963063666, Pos_Y, 3.242060123217464e-06, Pos_Z, 0.00013066608277434677 
Time, 0.048, Pos_X, -0.00014132476183664782, Pos_Y, 3.3832420250819178e-06, Pos_Z, 0.00015093564845900366 
Time, 0.05, Pos_X, -0.0001709033410737941, Pos_Y, 3.4511233831121998e-06, Pos_Z, 0.00017232331376986035 
Time, 0.052, Pos_X, -0.00020461132387471277, Pos_Y, 3.4396057593215505e-06, Pos_Z, 0.00019457911565107846 
Time, 0.054, Pos_X, -0.00024269984437420855, Pos_Y, 3.3495482080793575e-06, Pos_Z, 0.00021741730105276336 
Time, 0.056, Pos_X, -0.0002854035439614105, Pos_Y, 3.1913861363837967e-06, Pos_Z, 0.0002405193422771194 
Time, 0.058, Pos_X, -0.00033293992417895426, Pos_Y, 2.9868463813105193e-06, Pos_Z, 0.0002635373200428037 
Time, 0.06, Pos_X, -0.00038550854242982486, Pos_Y, 2.7700522827277024e-06, Pos_Z, 0.0002860985078685606 
Time, 0.062, Pos_X, -0.000443290333030504, Pos_Y, 2.58827506991174e-06, Pos_Z, 0.00030781061038377336 
Time, 0.064, Pos_X, -0.0005064472291512015, Pos_Y, 2.5025958940383063e-06, Pos_Z, 0.0003282670172219329 
Time, 0.066, Pos_X, -0.0005751219881493573, Pos_Y, 2.588557353597336e-06, Pos_Z, 0.00034705178984245156 
Time, 0.068, Pos_X, -0.000649438196819465, Pos_Y, 2.9366406807365033e-06, Pos_Z, 0.00036374443184754323 
Time, 0.07, Pos_X, -0.0007295004562371491, Pos_Y, 3.6524682716262546e-06, Pos_Z, 0.00037792448766891124 
Time, 0.072, Pos_X, -0.0008153946440273037, Pos_Y, 4.856799749033176e-06, Pos_Z, 0.0003891759439856786 
Time, 0.074, Pos_X, -0.0009071883050277769, Pos_Y, 6.685377578430286e-06, Pos_Z, 0.00039709139641799925 
Time, 0.076, Pos_X, -0.0010049311135481584, Pos_Y, 9.288686273674803e-06, Pos_Z, 0.0004012759217261241 
Time, 0.078, Pos_X, -0.001108655243596306, Pos_Y, 1.2831627364368629e-05, Pos_Z, 0.0004013505715664551 
Time, 0.08, Pos_X, -0.0012183756100274193, Pos_Y, 1.7493047218741866e-05, Pos_Z, 0.00039695551484831686 
