Time, 0.0, Pos_X, 0.0, Pos_Y, 0.0, Pos_Z, 0.0 
Time, 0.0, Pos_X, 0.0, Pos_Y, 0.0, Pos_Z, 0.0 
Time, 0.002, Pos_X, -7.210444960341553e-09, Pos_Y, -1.532557043091516e-09, Pos_Z, -3.299066718492567e-09 
Time, 0.004, Pos_X, -6.102031834372498e-08, Pos_Y, -1.309837725598066e-08, Pos_Z, -2.7670833249166788e-08 
Time, 0.006, Pos_X, -2.5741711515436704e-07, Pos_Y, -5.59014538814197e-08, Pos_Z, -1.1552141725506827e-07 
Time, 0.008, Pos_X, -7.732273018048476e-07, Pos_Y, -1.70010372645775e-07, Pos_Z, -3.432162812094932e-07 
Time, 0.01, Pos_X, -1.8893729055476122e-06, Pos_Y, -4.2081149850614385e-07, Pos_Z, -8.292752522911994e-07 
Time, 0.012, Pos_X, -4.011959049785709e-06, Pos_Y, -9.054966170594636e-07, Pos_Z, -1.7410237409757083e-06 
Time, 0.014, Pos_X, -7.689686657184939e-06, Pos_Y, -1.7592031191783034e-06, Pos_Z, -3.2991973428818286e-06 
Time, 0.016, Pos_X, -1.362594641800207e-05, Pos_Y, -3.1603394133880425e-06, Pos_Z, -5.780049564647463e-06 
Time, 0.018, Pos_X, -2.268395931540771e-05, Pos_Y, -5.3345612141666155e-06, Pos_Z, -9.51463620391545e-06 
Time, 0.02, Pos_X, -3.5883552006185385e-05, Pos_Y, -8.55684387520821e-06, Pos_Z, -1.4885134294599608e-05 
Time, 0.022, Pos_X, -5.43886151992594e-05, Pos_Y, -1.3151128913955948e-05, Pos_Z, -2.231830215544976e-05 
Time, 0.024, Pos_X, -7.948496143535887e-05, Pos_Y, -1.9487129373574375e-05, Pos_Z, -3.2276435280741736e-05 
Time, 0.026, Pos_X, -0.00011254914428988021, Pos_Y, -2.7974066683094742e-05, Pos_Z, -4.524639709366958e-05 
Time, 0.028, Pos_X, -0.00015500969538219514, Pos_Y, -3.905134487884857e-05, Pos_Z, -6.17275416468462e-05 
Time, 0.03, Pos_X, -0.0002083030871915243, Pos_Y, -5.317642919222361e-05, Pos_Z, -8.221943961841499e-05 
Time, 0.032, Pos_X, -0.0002738272778012325, Pos_Y, -7.081044099648413e-05, Pos_Z, -0.00010721029719304777 
Time, 0.034, Pos_X, -0.0003528959372198456, Pos_Y, -9.240220033989268e-05, Pos_Z, -0.00013716692940546818 
Time, 0.036, Pos_X, -0.0004466964622061468, Pos_Y, -0.0001183716511990536, Pos_Z, -0.00017252702690107957 
Time, 0.038, Pos_X, -0.000556254429015177, Pos_Y, -0.00014909367279463022, Pos_Z, -0.00021369420519796523 
Time, 0.04, Pos_X, -0.0006824063550912862, Pos_Y, -0.00018488317348301192, Pos_Z, -0.00026103589683288016 
Time, 0.042, Pos_X, -0.000825781735585627, Pos_Y, -0.00022598220076421402, Pos_Z, -0.00031488381815190236 
