Time, 0.0, Pos_X, 0.0, Pos_Y, 0.0, Pos_Z, 0.0 
Time, 0.0, Pos_X, 0.0, Pos_Y, 0.0, Pos_Z, 0.0 
Time, 0.002, Pos_X, -9.050407414815458e-10, Pos_Y, 5.217947022862142e-11, Pos_Z, -3.497950173571781e-10 
Time, 0.004, Pos_X, -7.776906939743362e-09, Pos_Y, 4.003595587918983e-10, Pos_Z, -2.9374614924731643e-09 
Time, 0.006, Pos_X, -3.338494291962754e-08, Pos_Y, 1.4794131560235596e-09, Pos_Z, -1.228374296165231e-08 
Time, 0.008, Pos_X, -1.0211396436465296e-07, Pos_Y, 3.748695089608898e-09, Pos_Z, -3.6570777891181815e-08 
Time, 0.01, Pos_X, -2.5413080151580744e-07, Pos_Y, 7.3241433488121175e-09, Pos_Z, -8.858514320033703e-08 
Time, 0.012, Pos_X, -5.496461012068823e-07, Pos_Y, 1.1389577678351912e-08, Pos_Z, -1.865386364730254e-07 
Time, 0.014, Pos_X, -1.0730386936284385e-06, Pos_Y, 1.339217709042113e-08, Pos_Z, -3.546992892296896e-07 
Time, 0.016, Pos_X, -1.936541617734908e-06, Pos_Y, 8.054238625485515e-09, Pos_Z, -6.237666970078406e-07 
Time, 0.018, Pos_X, -3.283169088165193e-06, Pos_Y, -1.3754075501386013e-08, Pos_Z, -1.0309509092107165e-06 
Time, 0.02, Pos_X, -5.288552774215089e-06, Pos_Y, -6.62116530838142e-08, Pos_Z, -1.6197318900473618e-06 
Time, 0.022, Pos_X, -8.161385613141118e-06, Pos_Y, -1.6971180743956705e-07, Pos_Z, -2.4392942190034224e-06 
Time, 0.024, Pos_X, -1.2142238371761749e-05, Pos_Y, -3.5186989144472614e-07, Pos_Z, -3.5436656529293688e-06 
Time, 0.026, Pos_X, -1.750062670728918e-05, Pos_Y, -6.482281977552378e-07, Pos_Z, -4.990647799149143e-06 
Time, 0.028, Pos_X, -2.453038558833968e-05, Pos_Y, -1.1025312847180938e-06, Pos_Z, -6.840635641825911e-06 
Time, 0.03, Pos_X, -3.354360672670409e-05, Pos_Y, -1.7664836969517727e-06, Pos_Z, -9.155388392120324e-06 
Time, 0.032, Pos_X, -4.486349362141033e-05, Pos_Y, -2.698930578994678e-06, Pos_Z, -1.1996865791913823e-05 
Time, 0.034, Pos_X, -5.8816581272071194e-05, Pos_Y, -3.964446846852097e-06, Pos_Z, -1.5426315108959922e-05 
Time, 0.036, Pos_X, -7.572484911072145e-05, Pos_Y, -5.631387131216395e-06, Pos_Z, -1.9503718004643086e-05 
Time, 0.038, Pos_X, -9.58982145052863e-05, Pos_Y, -7.769473321411133e-06, Pos_Z, -2.4287565020118264e-05 
Time, 0.04, Pos_X, -0.00011962781025035094, Pos_Y, -1.0447030600062554e-05, Pos_Z, -2.9834836900470317e-05 
Time, 0.042, Pos_X, -0.00014718034562547936, Pos_Y, -1.3728030470309738e-05, Pos_Z, -3.62010778287314e-05 
Time, 0.044, Pos_X, -0.00017879370197402097, Pos_Y, -1.7669115912322515e-05, Pos_Z, -4.34405195313556e-05 
Time, 0.046, Pos_X, -0.0002146738081771546, Pos_Y, -2.231678473484335e-05, Pos_Z, -5.1606245060496927e-05 
Time, 0.048, Pos_X, -0.00025499269453665204, Pos_Y, -2.7704860187685937e-05, Pos_Z, -6.075033962068362e-05 
Time, 0.05, Pos_X, -0.00029988750863495933, Pos_Y, -3.38523259748681e-05, Pos_Z, -7.092392419700072e-05 
Time, 0.052, Pos_X, -0.00034946028282593585, Pos_Y, -4.0761569995826815e-05, Pos_Z, -8.21769842604301e-05 
Time, 0.054, Pos_X, -0.0004037782285784393, Pos_Y, -4.8417049319211374e-05, Pos_Z, -9.455794209890961e-05 
Time, 0.056, Pos_X, -0.0004628744325787171, Pos_Y, -5.678432928081875e-05, Pos_Z, -0.00010811296881766112 
Time, 0.058, Pos_X, -0.0005267486853244292, Pos_Y, -6.580951117681817e-05, Pos_Z, -0.0001228850336106443 
Time, 0.06, Pos_X, -0.0005953682013960464, Pos_Y, -7.541904702681556e-05, Pos_Z, -0.0001389127358658661 
Time, 0.062, Pos_X, -0.0006686682896498717, Pos_Y, -8.551988806649742e-05, Pos_Z, -0.00015622907360141313 
Time, 0.064, Pos_X, -0.0007465529335983756, Pos_Y, -9.599993980472142e-05, Pos_Z, -0.00017486019076631408 
Time, 0.066, Pos_X, -0.0008288952459284903, Pos_Y, -0.0001067287935223038, Pos_Z, -0.00019482411929977605 
Time, 0.068, Pos_X, -0.0009155378189160978, Pos_Y, -0.00011755868891092428, Pos_Z, -0.0002161295419343939 
Time, 0.07, Pos_X, -0.0010062930110116175, Pos_Y, -0.00012832564687110997, Pos_Z, -0.00023877451725486215 
Time, 0.072, Pos_X, -0.0011009432754892252, Pos_Y, -0.00013885073860513594, Pos_Z, -0.0002627451959446312 
Time, 0.074, Pos_X, -0.0011992415734238479, Pos_Y, -0.00014894144738785372, Pos_Z, -0.00028801460611159967 
Time, 0.076, Pos_X, -0.0013009118938249423, Pos_Y, -0.00015839312090578714, Pos_Z, -0.00031454152017455073 
Time, 0.078, Pos_X, -0.0014056499816416203, Pos_Y, -0.00016699052107120826, Pos_Z, -0.0003422694586666316 
Time, 0.08, Pos_X, -0.0015131243189345687, Pos_Y, -0.00017450947635255857, Pos_Z, -0.00037112583623782197 
