Time_s_,Acc_x_m_s_2_,Acc_y_m_s_2_,Acc_z_m_s_2_,Gyro_x_1_s_,Gyro_y_1_s_,Gyro_z_1_s_
0,0.6634285,-0.37290698,-0.45260444,0.42712453,-0.09900963,0.26118588
0.002,0.6609581,-0.36942428,-0.44025913,0.42884773,-0.10217437,0.26124853
0.004,0.65842783,-0.36590856,-0.42718598,0.43061775,-0.10591416,0.2612366
0.006,0.65558004,-0.36230433,-0.41342074,0.43240768,-0.110327736,0.2611242
0.008,0.6524833,-0.3586338,-0.39901188,0.43418604,-0.115504935,0.2608857
0.01,0.6491824,-0.35487798,-0.38384327,0.43592268,-0.12150669,0.26048264
0.012,0.645748,-0.3510728,-0.36791927,0.43758628,-0.12837526,0.25987452
0.014,0.6419465,-0.34718645,-0.35124284,0.43915075,-0.1361162,0.2590437
0.016,0.6378362,-0.34314716,-0.33377737,0.44060308,-0.14467968,0.257966
0.018,0.63332295,-0.33895037,-0.3156066,0.4419483,-0.15395507,0.25664544
0.02,0.628448,-0.3346069,-0.2966989,0.44320372,-0.16377455,0.2550888
0.022,0.6231249,-0.3300875,-0.27712104,0.44441208,-0.1739303,0.25330526
0.024,0.61734724,-0.32529715,-0.25697953,0.4456277,-0.18417704,0.2513277
0.026,0.61097914,-0.32028893,-0.23629144,0.4469093,-0.1942528,0.24918155
0.028,0.6040358,-0.31494182,-0.21518372,0.44839147,-0.20411137,0.24689324
0.03,0.59642595,-0.3092091,-0.19393098,0.45002675,-0.21326432,0.24452372
0.032,0.5881969,-0.30308086,-0.17262183,0.4518601,-0.22156349,0.24211226
0.034,0.579471,-0.2965539,-0.15149431,0.4539315,-0.22890723,0.23970488
0.036,0.570057,-0.28956464,-0.13070872,0.4562553,-0.23525035,0.23734397
0.038,0.5601077,-0.28207964,-0.11044212,0.45882306,-0.24059731,0.235056
0.04,0.5494269,-0.27412063,-0.090848565,0.46161646,-0.24499062,0.23288375
0.042,0.53824645,-0.2656251,-0.07206943,0.46459192,-0.24850032,0.2308604
0.044,0.5265574,-0.25670913,-0.054190524,0.46771175,-0.25124764,0.22900574
0.046,0.51427495,-0.24721785,-0.037300203,0.4709181,-0.2533656,0.227326
0.048,0.5014842,-0.2372551,-0.021404292,0.47415957,-0.25500035,0.22582187
0.05,0.48818713,-0.226732,-0.006533541,0.47737706,-0.25630122,0.22448257
0.052,0.47443402,-0.21571767,0.0073495917,0.48051947,-0.2574123,0.2232854
0.054,0.460172,-0.20418285,0.020368412,0.483536,-0.25846225,0.22218949
0.056,0.44527185,-0.19188985,0.03315565,0.4863903,-0.25956807,0.22114065
0.058,0.430293,-0.17924377,0.04519459,0.48903775,-0.2608263,0.22011201
0.06,0.41495296,-0.16622928,0.056614593,0.49145126,-0.26232088,0.2190696
0.062,0.39950255,-0.15292433,0.06771068,0.49359703,-0.26410925,0.21797842
0.064,0.3838518,-0.1392999,0.07869826,0.49546102,-0.26623943,0.21682486
0.066,0.3681844,-0.12548012,0.089931995,0.49703363,-0.26871663,0.2155894
0.068,0.35233358,-0.11147016,0.10164062,0.49829933,-0.27152377,0.21426861
0.07,0.33637685,-0.097346894,0.114036754,0.49926177,-0.27462775,0.21287918
0.072,0.32024878,-0.08302807,0.12743844,0.49991783,-0.27799004,0.21141046
0.074,0.30398688,-0.06874879,0.14203884,0.5002701,-0.28156173,0.2098784
0.076,0.28757343,-0.05437909,0.15797666,0.5003072,-0.2852977,0.20830028
0.078,0.27101886,-0.040016636,0.17544484,0.50002736,-0.2891615,0.20665981
0.08,0.25442797,-0.02570194,0.19441737,0.49943322,-0.29310954,0.2049444
0.082,0.23768541,-0.011362195,0.215036,0.49852866,-0.29709578,0.20312726
0.084,0.22087929,0.0028266609,0.23736842,0.49734363,-0.30106604,0.20118463
0.086,0.20393378,0.016877234,0.26131868,0.4959108,-0.30495298,0.19911247
0.088,0.18678924,0.0307253,0.2868183,0.49427217,-0.3086692,0.19691694
0.09,0.16944106,0.044401586,0.31397653,0.492481,-0.31210464,0.19461495
0.092,0.15171762,0.05796027,0.34250554,0.49058557,-0.3151376,0.19225256
0.094,0.13384944,0.07152235,0.37225097,0.48864606,-0.3176199,0.18988013
0.096,0.11566985,0.0851592,0.4030236,0.48671907,-0.31940493,0.1875659
0.098,0.096962534,0.09897884,0.4343967,0.48484707,-0.32034084,0.18538915
0.1,0.07790718,0.11308356,0.46614826,0.48305202,-0.3203009,0.18343346
0.102,0.05852226,0.12743022,0.4978977,0.4813436,-0.31919244,0.18176807
0.104,0.03879182,0.14220756,0.5293008,0.47970155,-0.31696606,0.18045804
0.106,0.01871936,0.15748808,0.5599236,0.47809553,-0.31362596,0.17954822
0.108,-0.0016758144,0.17333853,0.58958256,0.4764739,-0.30922708,0.17906833
0.11,-0.022492647,0.18997188,0.6178846,0.47474465,-0.30388072,0.17903286
0.112,-0.043720245,0.20722865,0.6446463,0.47281617,-0.29776818,0.17941242
0.114,-0.06527589,0.22519292,0.6696414,0.47056758,-0.29111618,0.18016845
0.116,-0.08702232,0.24387538,0.6926773,0.46788928,-0.28421375,0.1812568
0.118,-0.10906206,0.26317048,0.71381485,0.4646649,-0.27735946,0.18261239
0.12,-0.13148336,0.28314427,0.73293227,0.46079096,-0.27088127,0.18417026
0.122,-0.15411541,0.30372417,0.75010276,0.45620492,-0.2651201,0.18581909
0.124,-0.17695723,0.3247554,0.76553154,0.45085078,-0.2603889,0.18745196
0.126,-0.2000897,0.34614563,0.77940357,0.44472477,-0.25696552,0.18897146
0.128,-0.2235488,0.36785075,0.79206276,0.43785298,-0.25504842,0.19026732
0.13,-0.24723251,0.38968664,0.8036681,0.43029922,-0.25475064,0.1912427
0.132,-0.2711643,0.41150838,0.8147265,0.42215085,-0.2560956,0.19183396
0.134,-0.29535207,0.43302435,0.8255523,0.41351476,-0.25902066,0.1920125
0.136,-0.31970248,0.45401514,0.8364626,0.40451023,-0.26335758,0.19177309
0.138,-0.34432018,0.47416198,0.8479153,0.39525318,-0.26885307,0.19114184
0.14,-0.36918005,0.49331993,0.8603098,0.38586092,-0.2751984,0.19016932
0.142,-0.39429832,0.511329,0.87386674,0.37643862,-0.28207773,0.18893132
0.144,-0.4197631,0.5279231,0.8889659,0.3670824,-0.28915206,0.18750715
0.146,-0.4452715,0.54296243,0.9055908,0.35787892,-0.29609826,0.18597053
0.148,-0.47072634,0.556157,0.92388695,0.348903,-0.3026316,0.18437433
0.15,-0.49570647,0.5673178,0.9436536,0.3402199,-0.30849653,0.18275839
0.152,-0.52028525,0.57606494,0.9648931,0.33187544,-0.3134915,0.18115547
0.154,-0.5443263,0.5823617,0.98755956,0.32391387,-0.31745228,0.17958592
0.156,-0.5677576,0.58578026,1.0116096,0.31635815,-0.32022205,0.17807685
0.158,-0.59038395,0.58616376,1.0370148,0.30923295,-0.32165018,0.17665605
0.16,-0.61204493,0.5831297,1.0635682,0.3025263,-0.32158053,0.17536402
0.162,-0.63258666,0.5766368,1.0911379,0.2962583,-0.3198492,0.17427796
0.164,-0.6517099,0.5663947,1.1193838,0.2904376,-0.31628954,0.17350562
0.166,-0.6693137,0.5524412,1.1480311,0.2850865,-0.31071958,0.17318872
0.168,-0.68514055,0.53458947,1.1764272,0.2802308,-0.30295128,0.17346092
0.17,-0.69884366,0.5127339,1.2041202,0.2759211,-0.29278886,0.17443022
0.172,-0.71020216,0.48686078,1.2305865,0.27220634,-0.28005332,0.17618
0.174,-0.71893054,0.45684484,1.2553697,0.26915628,-0.2645728,0.17874397
0.176,-0.7249345,0.4227897,1.2779993,0.26682627,-0.2462062,0.18210295
0.178,-0.7279166,0.3847434,1.2979598,0.26524487,-0.22489269,0.18618418
0.18,-0.7277597,0.342851,1.3149668,0.2644117,-0.2006398,0.19089729
0.182,-0.7242886,0.29739606,1.3285697,0.26429045,-0.17357163,0.19611098
0.184,-0.7175778,0.2487744,1.3385577,0.26480114,-0.14390996,0.20170134
0.186,-0.7076605,0.19709012,1.3447068,0.26580468,-0.1120047,0.2075562
0.188,-0.6945777,0.14296772,1.3469821,0.26711157,-0.07838484,0.2135888
0.19,-0.67851985,0.08680195,1.3454441,0.26846877,-0.043750286,0.2197386
0.192,-0.6597268,0.029030286,1.3401031,0.26959646,-0.008942798,0.22594914
0.194,-0.6385211,-0.02962732,1.3312061,0.27020812,0.025129288,0.23215324
0.196,-0.6150378,-0.088646,1.3189439,0.27002764,0.05756776,0.23824042
0.198,-0.5897212,-0.14748105,1.3037314,0.26880756,0.08756691,0.24408388
0.2,-0.5629693,-0.20546877,1.2859437,0.26637015,0.114483595,0.24955374
0.202,-0.53506565,-0.26220888,1.2659508,0.2625931,0.13791975,0.25453442
0.204,-0.5067268,-0.31722942,1.2444435,0.25743565,0.1577828,0.25893226
0.206,-0.47833422,-0.37017182,1.2218926,0.25094754,0.17427576,0.26270938
0.208,-0.45023805,-0.4206524,1.1987021,0.24323922,0.18787089,0.26589426
0.21,-0.42296785,-0.46849066,1.1752108,0.23447612,0.19922447,0.26859087
0.212,-0.3969425,-0.51323044,1.1518424,0.2248624,0.20911065,0.27094555
0.214,-0.37237048,-0.5549284,1.1286362,0.2146446,0.21835344,0.27314714
0.216,-0.3495981,-0.5932623,1.1056972,0.20405549,0.22773603,0.2753619
0.218,-0.32894674,-0.628318,1.082731,0.19333959,0.23795708,0.27774262
0.22,-0.31056264,-0.6600932,1.0596288,0.18270487,0.24956116,0.2804124
0.222,-0.29475293,-0.6885127,1.0361217,0.17234051,0.26291656,0.28347492
0.224,-0.2814169,-0.71369386,1.0118446,0.1623579,0.27820623,0.2870065
0.226,-0.27080378,-0.7357346,0.986468,0.1528366,0.29543272,0.29105696
0.228,-0.2628753,-0.75470185,0.9596541,0.14378755,0.31443453,0.295649
0.23,-0.2574871,-0.7709259,0.9310348,0.13515295,0.3349138,0.30080146
0.232,-0.2548303,-0.7845006,0.90028703,0.12684637,0.35645506,0.3064867
0.234,-0.25457856,-0.7957152,0.8670777,0.11873302,0.3785399,0.31263644
0.236,-0.25673985,-0.80476093,0.8312583,0.110649765,0.40059268,0.31918734
0.238,-0.26100758,-0.8119005,0.79277575,0.10242422,0.42199484,0.32604492
0.24,-0.2674367,-0.8172679,0.75179327,0.0939036,0.4421397,0.33306926
0.242,-0.27580267,-0.82108986,0.7083185,0.08497125,0.46051353,0.3400884
