Time_s_,Acc_x_m_s_2_,Acc_y_m_s_2_,Acc_z_m_s_2_,Gyro_x_1_s_,Gyro_y_1_s_,Gyro_z_1_s_
0.144,-0.7206083,1.2062395,0.015083283,-0.1035192,1.4273932,-0.38560867
0.146,-0.7723838,1.2521098,-0.008039892,-0.15365762,1.3394992,-0.3857216
0.148,-0.8348158,1.3036103,-0.033885956,-0.20659488,1.244514,-0.3839311
0.15,-0.90751106,1.3608975,-0.063050985,-0.2616935,1.1445386,-0.380399
0.152,-0.98981965,1.424226,-0.09621018,-0.31837797,1.0414648,-0.3754068
0.154,-1.0808364,1.4939488,-0.13473874,-0.3761128,0.93692255,-0.3693676
0.156,-1.1803775,1.5705805,-0.17927212,-0.43439636,0.8323432,-0.36289456
0.158,-1.2884595,1.6545389,-0.23007357,-0.4927438,0.7289342,-0.35684308
0.16,-1.4037918,1.7456448,-0.28734672,-0.55076754,0.6274918,-0.35212106
0.162,-1.5247135,1.8431902,-0.35137576,-0.6081387,0.5285421,-0.34962326
0.164,-1.6501772,1.9467592,-0.42343044,-0.6644199,0.43271592,-0.35019222
0.166,-1.7791474,2.0558968,-0.5051862,-0.7191328,0.3407087,-0.35457972
0.168,-1.9104241,2.1701827,-0.59771067,-0.77177787,0.25321048,-0.36341497
0.17,-2.0430133,2.2891347,-0.70097756,-0.8218143,0.1709381,-0.3772046
0.172,-2.1762877,2.4124646,-0.8143742,-0.8687008,0.09471813,-0.39630598
0.174,-2.30991,2.5397236,-0.93780106,-0.91189367,0.025435358,-0.4208677
0.176,-2.443267,2.6701179,-1.0712569,-0.9509275,-0.036055148,-0.45079327
0.178,-2.5756629,2.8026505,-1.2154012,-0.98547554,-0.08910465,-0.48582092
0.18,-2.7070441,2.9368672,-1.3698289,-1.0153378,-0.13328823,-0.52556896
0.182,-2.837586,3.072699,-1.5342715,-1.0404348,-0.16849697,-0.5695532
0.184,-2.967128,3.2097921,-1.7085471,-1.0608357,-0.19498527,-0.61721545
0.186,-3.0953484,3.347382,-1.8918915,-1.0767423,-0.21331471,-0.6679061
0.188,-3.2224603,3.4849658,-2.0836768,-1.0884821,-0.22426778,-0.72096574
0.19,-3.3482592,3.6218264,-2.2832842,-1.0964162,-0.22885662,-0.77582455
0.192,-3.4720304,3.7574296,-2.4913902,-1.1009288,-0.22816885,-0.83196604
0.194,-3.5940166,3.8914902,-2.7071505,-1.1024039,-0.22324955,-0.88889575
0.196,-3.7160535,4.024531,-2.9282627,-1.1012146,-0.21510774,-0.946113
0.198,-3.8382964,4.155769,-3.152907,-1.0977633,-0.20474255,-1.0031476
0.2,-3.95993,4.28383,-3.3803208,-1.0924392,-0.19310927,-1.0595633
0.202,-4.0813,4.4079976,-3.6095686,-1.0856341,-0.18112528,-1.1150193
0.204,-4.2028227,4.528256,-3.8404744,-1.0777882,-0.1697793,-1.1692476
0.206,-4.3253455,4.6450233,-4.072774,-1.0693467,-0.16006452,-1.2220331
0.208,-4.449077,4.7582073,-4.3053694,-1.0607328,-0.15302074,-1.2731694
0.21,-4.574148,4.867795,-4.537723,-1.0523589,-0.14976752,-1.3225316
0.212,-4.7011185,4.973605,-4.7691736,-1.0446123,-0.15142792,-1.3699965
0.214,-4.8307033,5.0757246,-4.9996524,-1.0377592,-0.1590079,-1.4155504
0.216,-4.9633617,5.174359,-5.228997,-1.0320337,-0.17354923,-1.459223
0.218,-5.0992885,5.2695527,-5.4570007,-1.0276921,-0.19625771,-1.5010121
0.22,-5.2391205,5.361808,-5.6838045,-1.0248895,-0.22818553,-1.5409161
0.222,-5.383232,5.4517007,-5.9096165,-1.0236948,-0.2702456,-1.5789483
0.224,-5.531705,5.5398,-6.1349874,-1.0241948,-0.3233837,-1.6151531
0.226,-5.6851273,5.6268554,-6.360207,-1.0264357,-0.38837475,-1.6497784
0.228,-5.843442,5.713645,-6.585635,-1.0304284,-0.46573794,-1.6833577
0.23,-6.006497,5.8004823,-6.8118024,-1.0361775,-0.55592275,-1.7165552
0.232,-6.1742754,5.8878465,-7.038887,-1.0436201,-0.65907407,-1.7499168
0.234,-6.346431,5.9759994,-7.2668443,-1.0526893,-0.77505195,-1.7840333
0.236,-6.5224867,6.0651054,-7.4953327,-1.0633453,-0.9035972,-1.819668
0.238,-6.7007923,6.1546454,-7.723756,-1.0755446,-1.0442828,-1.857682
0.24,-6.881925,6.245255,-7.950742,-1.0892334,-1.1965101,-1.898965
0.242,-7.0635138,6.336429,-8.175265,-1.1043591,-1.359595,-1.9443687
0.244,-7.2439265,6.427348,-8.396372,-1.1208806,-1.5327415,-1.9945889
0.246,-7.42193,6.517526,-8.612379,-1.1387529,-1.7151058,-2.050139
0.248,-7.595876,6.606198,-8.821602,-1.1578999,-1.905784,-2.1113715
0.25,-7.7639866,6.692599,-9.022429,-1.1782207,-2.103715,-2.1784325
0.252,-7.9245076,6.7760754,-9.213335,-1.1995491,-2.3076944,-2.2512152
0.254,-8.07591,6.856064,-9.39216,-1.2216891,-2.516445,-2.3293777
0.256,-8.216319,6.9319015,-9.556807,-1.2444267,-2.728625,-2.412393
0.258,-8.34433,7.0028505,-9.704801,-1.2675159,-2.942801,-2.4996088
0.26,-8.458777,7.0682635,-9.833609,-1.2907002,-3.1575835,-2.5903568
0.262,-8.558646,7.127678,-9.940823,-1.31374,-3.3716276,-2.6840408
0.264,-8.64341,7.180618,-10.023938,-1.3364222,-3.5836296,-2.7800384
0.266,-8.712219,7.2265615,-10.0811405,-1.3585371,-3.7923727,-2.877716
0.268,-8.764605,7.2650056,-10.111275,-1.3799337,-3.9967165,-2.976422
