Time_s_,Acc_x_m_s_2_,Acc_y_m_s_2_,Acc_z_m_s_2_,Gyro_x_1_s_,Gyro_y_1_s_,Gyro_z_1_s_
0,-2.9951303,-3.064012,-3.6671877,-4.2219768,-3.2348995,-5.5280566
0.002,-2.8249536,-3.2711148,-4.014612,-4.2477055,-3.2688818,-5.4747005
0.004,-2.6466298,-3.4824042,-4.3739805,-4.2784247,-3.313962,-5.4117947
0.006,-2.46005,-3.6967905,-4.745485,-4.3150897,-3.372878,-5.337703
0.008,-2.2649813,-3.9134307,-5.128915,-4.3587036,-3.448697,-5.250734
0.01,-2.061095,-4.1313825,-5.5241156,-4.41027,-3.5447676,-5.1492352
0.012,-1.8479999,-4.3491797,-5.9305053,-4.4707437,-3.6645179,-5.031626
0.014,-1.6249176,-4.565136,-6.347557,-4.540908,-3.8111978,-4.896517
0.016,-1.3912482,-4.7773423,-6.774467,-4.6212907,-3.9876022,-4.7428594
0.018,-1.1463504,-4.983739,-7.2098927,-4.712151,-4.1958632,-4.570057
0.02,-0.88989305,-5.1818285,-7.6524873,-4.813452,-4.437348,-4.378001
0.022,-0.6215229,-5.3686466,-8.100866,-4.9248385,-4.7125325,-4.167034
0.024,-0.3411901,-5.540661,-8.554002,-5.04565,-5.0209637,-3.937916
0.026,-0.048766613,-5.6942487,-9.010431,-5.174993,-5.361418,-3.6917837
0.028,0.25577736,-5.8258333,-9.468608,-5.3137817,-5.736114,-3.4262156
0.03,0.5732126,-5.9318514,-9.925573,-5.4582467,-6.1382747,-3.1477296
0.032,0.9004345,-6.007001,-10.380795,-5.607289,-6.5655885,-2.857537
0.034,1.234405,-6.046526,-10.83613,-5.759695,-7.0157385,-2.5567832
0.036,1.576066,-6.047963,-11.2905655,-5.914201,-7.486454,-2.246514
0.038,1.9250116,-6.0084696,-11.740284,-6.0694985,-7.975447,-1.9276544
0.04,2.277954,-5.9236,-12.182349,-6.224244,-8.480431,-1.6008877
0.042,2.6302524,-5.7888045,-12.614628,-6.3770733,-8.999077,-1.2667046
0.044,2.9792724,-5.6011124,-13.035828,-6.526637,-9.529048,-0.92543197
0.046,3.321515,-5.358209,-13.444583,-6.671604,-10.067944,-0.57744086
0.048,3.6524773,-5.058048,-13.840289,-6.8106284,-10.613333,-0.22324103
0.05,3.9677315,-4.699299,-14.222952,-6.9423866,-11.162614,0.1364457
0.052,4.262965,-4.2810564,-14.591647,-7.06551,-11.71304,0.5006244
0.054,4.532797,-3.8021758,-14.944786,-7.178615,-12.261754,0.8680206
0.056,4.781692,-3.2659688,-15.296551,-7.2802987,-12.805782,1.2371516
0.058,4.991895,-2.6663399,-15.623687,-7.369174,-13.34208,1.6062584
0.06,5.1597176,-2.004754,-15.925804,-7.4437656,-13.867459,1.9734145
0.062,5.2815943,-1.2830992,-16.203417,-7.502573,-14.378632,2.3366804
0.064,5.3548656,-0.5040722,-16.455193,-7.544229,-14.872348,2.6941838
0.066,5.377221,0.32925272,-16.680136,-7.5673933,-15.345474,3.0440984
0.068,5.3460007,1.2130861,-16.876919,-7.5708084,-15.794872,3.3847735
0.07,5.259022,2.143549,-17.043116,-7.553458,-16.217518,3.7148414
0.072,5.115383,3.1166453,-17.17595,-7.5146008,-16.610601,4.033102
0.074,4.914151,4.127687,-17.274536,-7.4537144,-16.971624,4.3383875
0.076,4.655856,5.171061,-17.336979,-7.370615,-17.298601,4.629594
0.078,4.3421435,6.240656,-17.361893,-7.2654915,-17.590075,4.9056764
0.08,3.9755592,7.3302865,-17.348282,-7.1390033,-17.845058,5.1657577
0.082,3.5596929,8.433435,-17.295362,-6.9921446,-18.063019,5.409086
0.084,3.0969396,9.543919,-17.201862,-6.826233,-18.24367,5.634926
0.086,2.5907674,10.654602,-17.067274,-6.642803,-18.387009,5.842513
0.088,2.045556,11.7584305,-16.891066,-6.443602,-18.49325,6.0310926
0.09,1.4657435,12.848606,-16.672459,-6.230391,-18.562588,6.1999054
