Time_s_,Acc_x_m_s_2_,Acc_y_m_s_2_,Acc_z_m_s_2_,Gyro_x_1_s_,Gyro_y_1_s_,Gyro_z_1_s_
0,-0.047598533,0.06306919,-0.15643692,0.1303429,-0.29995695,0.33088818
0.002,-0.048489768,0.062606975,-0.14944445,0.1296347,-0.303149,0.33090946
0.004,-0.04969978,0.062413406,-0.1420488,0.12891409,-0.3066543,0.33089867
0.006,-0.05122201,0.062397964,-0.13430639,0.12821004,-0.31047776,0.3308393
0.008,-0.05320748,0.06258523,-0.12608026,0.12755808,-0.31459197,0.33071634
0.01,-0.055392817,0.0630377,-0.11736438,0.12698087,-0.31893203,0.33051264
0.012,-0.058012933,0.06383058,-0.108281225,0.12654257,-0.3234182,0.33021405
0.014,-0.06103223,0.0651266,-0.098846786,0.12629715,-0.32792488,0.32981554
0.016,-0.0644789,0.06675321,-0.08926289,0.12630726,-0.33230716,0.3292946
0.018,-0.06833014,0.0688859,-0.079606034,0.12662175,-0.3363989,0.32864496
0.02,-0.072655864,0.07147052,-0.06999631,0.12728462,-0.34003645,0.32786462
0.022,-0.07748996,0.07457966,-0.060569145,0.12830591,-0.343067,0.32696396
0.024,-0.08262361,0.078076236,-0.051284995,0.12968075,-0.34537926,0.32595932
0.026,-0.08813519,0.082107484,-0.0423445,0.13137487,-0.34690595,0.3248674
0.028,-0.09402445,0.08660458,-0.033848524,0.133316,-0.3477488,0.3236968
0.03,-0.10023512,0.09161591,-0.025812054,0.13545111,-0.3477567,0.3224898
0.032,-0.10664394,0.097006105,-0.018364564,0.13767236,-0.34704277,0.32125908
0.034,-0.11317478,0.10278301,-0.0117607415,0.13988724,-0.34574112,0.32002413
0.036,-0.11971945,0.108872235,-0.006043986,0.14201522,-0.34397292,0.318808
0.038,-0.12613373,0.11524065,-0.0013795154,0.14398023,-0.34187126,0.3176519
0.04,-0.1322508,0.12183633,0.0021479325,0.14572355,-0.33956337,0.31658727
0.042,-0.13795,0.12855446,0.0044568432,0.1471911,-0.3371495,0.31564888
0.044,-0.14306349,0.13530838,0.0054946784,0.14835012,-0.33470458,0.3148657
0.046,-0.14741327,0.14204338,0.0053273886,0.1491822,-0.3323026,0.31427705
0.048,-0.15096267,0.14859022,0.0039472887,0.14968261,-0.32997924,0.31391382
