Time_s_,Acc_x_m_s_2_,Acc_y_m_s_2_,Acc_z_m_s_2_,Gyro_x_1_s_,Gyro_y_1_s_,Gyro_z_1_s_
0,-0.026536323,-0.0018840511,-0.01721082,-0.1676515,-0.06201025,-0.6139354
0.002,-0.037538473,0.0010221563,-0.02443078,-0.16574024,-0.060825944,-0.6118221
0.004,-0.04992042,0.004502522,-0.032196004,-0.16383374,-0.060008265,-0.60956687
0.006,-0.06416683,0.008582535,-0.040445205,-0.16197294,-0.059702218,-0.60719204
0.008,-0.08034984,0.01337382,-0.04924825,-0.16021049,-0.060047068,-0.604733
0.01,-0.09851039,0.018966785,-0.05882249,-0.15861589,-0.06121324,-0.60223806
0.012,-0.119193636,0.02567187,-0.06921539,-0.15725948,-0.06334823,-0.59976107
0.014,-0.14236577,0.03359011,-0.080451325,-0.15621151,-0.06657366,-0.59734637
0.016,-0.16832596,0.042886674,-0.09262726,-0.15554324,-0.07097239,-0.5950383
0.018,-0.19727007,0.05374235,-0.10566426,-0.15530562,-0.076555096,-0.59285694
0.02,-0.22936529,0.06633255,-0.11941829,-0.15552679,-0.08325136,-0.59080374
0.022,-0.2647911,0.080699444,-0.1338948,-0.15622026,-0.09092574,-0.58886635
0.024,-0.30373603,0.09719744,-0.1491667,-0.15736878,-0.09938512,-0.5869964
0.026,-0.34633577,0.11591433,-0.16528715,-0.15894169,-0.10842381,-0.58511376
0.028,-0.39268553,0.13699016,-0.18230304,-0.16085614,-0.11789205,-0.58301306
0.03,-0.44281834,0.16058746,-0.2001396,-0.16317149,-0.12766203,-0.5806866
0.032,-0.4966777,0.18684913,-0.21885048,-0.16585809,-0.13767031,-0.5779753
0.034,-0.5540746,0.21576938,-0.23837559,-0.16892281,-0.14795785,-0.5747412
0.036,-0.6146733,0.24746871,-0.25878316,-0.17238554,-0.15870112,-0.57087815
0.038,-0.6782615,0.28176224,-0.28018436,-0.17628527,-0.17018297,-0.56631416
0.04,-0.7443706,0.31866992,-0.30249277,-0.18069188,-0.18278515,-0.5610546
0.042,-0.81248945,0.35784003,-0.32563287,-0.18567343,-0.19693758,-0.5551703
0.044,-0.8821471,0.39892954,-0.3493806,-0.19129083,-0.21309046,-0.54880273
0.046,-0.95251584,0.44149712,-0.37352854,-0.19758333,-0.23164085,-0.5421658
0.048,-1.0230154,0.4851936,-0.39806193,-0.20457485,-0.25292125,-0.5355443
0.05,-1.0926505,0.52927476,-0.42303383,-0.21224073,-0.27714214,-0.52922106
0.052,-1.1609442,0.57310784,-0.44813716,-0.22052604,-0.30437315,-0.52350146
0.054,-1.2278792,0.61611176,-0.4728116,-0.22931111,-0.33457494,-0.5186851
0.056,-1.2935184,0.6578715,-0.49717245,-0.23847733,-0.3675786,-0.5150401
0.058,-1.3555065,0.6967239,-0.5207406,-0.2478727,-0.40313214,-0.51279044
0.06,-1.4134575,0.73201597,-0.5435011,-0.25734845,-0.44092762,-0.5120947
0.062,-1.4670012,0.76324457,-0.5650063,-0.2667675,-0.4806157,-0.51305234
0.064,-1.5156144,0.7897336,-0.5847835,-0.27601722,-0.5218241,-0.51570123
0.066,-1.5590446,0.8111844,-0.6025821,-0.2850233,-0.5641668,-0.52002716
0.068,-1.5971057,0.8273091,-0.61810416,-0.29375076,-0.60725784,-0.52598643
0.07,-1.6297562,0.8378539,-0.63131213,-0.3021716,-0.6507047,-0.5334811
0.072,-1.656852,0.8423488,-0.6418815,-0.31030706,-0.6941334,-0.54236233
0.074,-1.6789329,0.8408792,-0.6496768,-0.31819296,-0.73717153,-0.5524236
0.076,-1.6962793,0.8335113,-0.65527624,-0.3258626,-0.7794452,-0.56340545
0.078,-1.7091755,0.82053417,-0.65901387,-0.3333484,-0.8205917,-0.575036
0.08,-1.7181454,0.8021593,-0.66103595,-0.3406729,-0.86028177,-0.5870712
0.082,-1.7238894,0.7788595,-0.66138965,-0.34781536,-0.8982359,-0.59929985
0.084,-1.726836,0.75122917,-0.6600982,-0.35472494,-0.9341862,-0.611575
0.086,-1.7277769,0.72011006,-0.65725887,-0.36133337,-0.9679107,-0.6238001
0.088,-1.727318,0.6861996,-0.6533735,-0.36757955,-0.9992846,-0.6358695
0.09,-1.7258238,0.650454,-0.6484357,-0.37342542,-1.0282611,-0.6477393
0.092,-1.7235707,0.61372125,-0.6423315,-0.37884694,-1.054874,-0.6594342
0.094,-1.7209624,0.57720226,-0.63510776,-0.38385487,-1.0792176,-0.6709608
0.096,-1.718123,0.5418028,-0.6269504,-0.3885318,-1.1014723,-0.6822634
0.098,-1.7150363,0.5084132,-0.617962,-0.39303327,-1.1218872,-0.69325304
