Time_s_,Acc_x_m_s_2_,Acc_y_m_s_2_,Acc_z_m_s_2_,Gyro_x_1_s_,Gyro_y_1_s_,Gyro_z_1_s_
0,0.029818576,0.34962255,0.089084245,0.87279755,0.5497205,-1.0207397
0.002,0.022273932,0.38328522,0.026466325,0.85853666,0.5403371,-1.0166657
0.004,0.013583975,0.41515717,-0.03352417,0.84146386,0.5287614,-1.0138931
0.006,0.003673939,0.4449818,-0.09033245,0.8210412,0.5144738,-1.0128807
0.008,-0.0077611916,0.47262663,-0.14307614,0.796688,0.49687764,-1.0140526
0.01,-0.02092759,0.49776137,-0.19043985,0.7678557,0.47535542,-1.0177889
0.012,-0.035867635,0.52017134,-0.23155582,0.73392373,0.4490017,-1.0243086
0.014,-0.053148735,0.53990936,-0.26507282,0.6943989,0.41691276,-1.0336816
0.016,-0.073120624,0.5571051,-0.29008317,0.6490165,0.3783813,-1.0457895
0.018,-0.09578237,0.5716743,-0.3059163,0.59769917,0.33279803,-1.060307
0.02,-0.12145628,0.5838496,-0.3118421,0.5406116,0.27975395,-1.0767106
0.022,-0.15060951,0.59411174,-0.307472,0.47817683,0.2191498,-1.0943325
0.024,-0.18368693,0.6030114,-0.29240415,0.41103837,0.15121514,-1.11245
0.026,-0.22135001,0.61146235,-0.26645732,0.33999455,0.076476276,-1.1303618
0.028,-0.2642169,0.6202068,-0.22944197,0.26478282,-0.005256593,-1.1474974
0.03,-0.312574,0.6300237,-0.181382,0.18774399,-0.09178531,-1.1635382
0.032,-0.36707282,0.641876,-0.12243131,0.10947636,-0.18223166,-1.1782475
0.034,-0.42840946,0.6567894,-0.053257555,0.03049513,-0.27571484,-1.1916044
0.036,-0.49698097,0.67595726,0.025162697,-0.048787303,-0.3712962,-1.203599
0.038,-0.5728168,0.70037913,0.11152586,-0.12799595,-0.46814626,-1.2144778
0.04,-0.65612674,0.73110783,0.20438701,-0.20689443,-0.56565213,-1.2247095
0.042,-0.74768156,0.76967174,0.30223697,-0.28533602,-0.66318333,-1.2347265
