Time_s_,Acc_x_m_s_2_,Acc_y_m_s_2_,Acc_z_m_s_2_,Gyro_x_1_s_,Gyro_y_1_s_,Gyro_z_1_s_
0,-0.38742745,0.2736815,-0.56648064,-0.18703313,-0.2886831,0.08538248
0.002,-0.3771883,0.24291444,-0.54776746,-0.18609647,-0.28291437,0.086993985
0.004,-0.36735645,0.21229593,-0.53268677,-0.18453228,-0.27507442,0.08856191
0.006,-0.35811943,0.18198371,-0.52178836,-0.18224385,-0.2647561,0.09027217
0.008,-0.3495149,0.15204379,-0.51552105,-0.1789946,-0.2515416,0.09203946
0.01,-0.34146696,0.12222466,-0.51443815,-0.17451334,-0.23504928,0.09363685
0.012,-0.3341035,0.092381835,-0.5190189,-0.16855943,-0.2149222,0.0949116
0.014,-0.32774055,0.06270986,-0.52961147,-0.16091241,-0.19088247,0.09573899
0.016,-0.3226996,0.03374657,-0.54639274,-0.15140694,-0.16281642,0.095982246
0.018,-0.31909052,0.0056035966,-0.5697332,-0.14000921,-0.1309389,0.0955443
0.02,-0.3174348,-0.021320969,-0.5999486,-0.12686089,-0.095885165,0.09434796
0.022,-0.31784174,-0.04672408,-0.6374712,-0.1123331,-0.058830373,0.09229553
0.024,-0.3206494,-0.07033618,-0.6825311,-0.097038954,-0.021462884,0.08925096
0.026,-0.3259153,-0.09177548,-0.735287,-0.08178769,0.014150498,0.085025206
0.028,-0.3339887,-0.11066681,-0.7958342,-0.067296155,0.046290018,0.079393856
0.03,-0.34510756,-0.12672138,-0.86386657,-0.054667752,0.072111346,0.07204597
0.032,-0.35948572,-0.13972321,-0.93896353,-0.044603296,0.0898229,0.06280085
0.034,-0.37726006,-0.14962055,-1.0202811,-0.037490856,0.098249786,0.051510334
0.036,-0.3987862,-0.1562227,-1.1068946,-0.03335181,0.09704117,0.03815096
0.038,-0.4242418,-0.15930223,-1.1976842,-0.031839155,0.086726785,0.022864282
0.04,-0.4537084,-0.15873003,-1.2914605,-0.032298286,0.06858793,0.0059818733
0.042,-0.4872456,-0.1543105,-1.386906,-0.03389433,0.04442846,-0.011994409
0.044,-0.5249337,-0.14602843,-1.4828643,-0.03575821,0.0162872,-0.030433916
0.046,-0.56643236,-0.13375992,-1.5780731,-0.03713105,-0.0139205,-0.048689395
0.048,-0.6115183,-0.11754951,-1.6712751,-0.037515394,-0.04469075,-0.066176966
0.05,-0.6595843,-0.09761447,-1.7609323,-0.03670586,-0.075092725,-0.08241702
0.052,-0.7101245,-0.074177474,-1.8456105,-0.034806907,-0.10481434,-0.09708756
0.054,-0.7623296,-0.04757899,-1.9236859,-0.03217814,-0.13412702,-0.10994897
0.056,-0.8154456,-0.019006163,-1.993969,-0.029320285,-0.1636964,-0.12085432
0.058,-0.8685051,0.012008041,-2.0551941,-0.026701733,-0.19425914,-0.12990831
0.06,-0.920267,0.0450598,-2.1062205,-0.024733797,-0.22636682,-0.13725619
0.062,-0.969686,0.07955739,-2.1457872,-0.023746401,-0.2602762,-0.1428364
0.064,-1.0150963,0.11479232,-2.172702,-0.023882836,-0.2958355,-0.14649911
0.066,-1.0551404,0.14993235,-2.1858702,-0.025032267,-0.33251837,-0.14816241
0.068,-1.0884184,0.18421635,-2.184811,-0.026954845,-0.36948836,-0.147778
0.07,-1.1135296,0.21688628,-2.1695364,-0.029315367,-0.40572754,-0.14530236
0.072,-1.1293564,0.24736804,-2.140368,-0.031732976,-0.44011286,-0.14075917
0.074,-1.1348102,0.2751589,-2.0979004,-0.03385067,-0.47158736,-0.13424292
0.076,-1.1290352,0.29992327,-2.0425515,-0.035343766,-0.4992584,-0.12591499
0.078,-1.1122575,0.32207742,-1.9749922,-0.035955936,-0.52253795,-0.11601286
0.08,-1.0836635,0.34122798,-1.8955178,-0.035535008,-0.5411721,-0.10482421
0.082,-1.0413834,0.35661304,-1.8060797,-0.033989027,-0.55518913,-0.092659846
0.084,-0.98627365,0.36931974,-1.7074262,-0.03129953,-0.5648673,-0.07985851
0.086,-0.9204733,0.38050187,-1.5985231,-0.027481973,-0.5706454,-0.06673884
0.088,-0.8449934,0.38998723,-1.4788641,-0.0225631,-0.5730549,-0.05353083
0.09,-0.7605146,0.39777496,-1.3502414,-0.01655224,-0.57268846,-0.040410716
0.092,-0.6678672,0.4044714,-1.215723,-0.009431183,-0.57013583,-0.027519751
0.094,-0.56838214,0.4107461,-1.0781398,-0.0011661947,-0.56593955,-0.014984288
0.096,-0.46319684,0.41780487,-0.93954855,0.0082938075,-0.5605694,-0.0029432196
0.098,-0.35416013,0.42705935,-0.8012225,0.01901868,-0.5544116,0.008457481
0.1,-0.2429065,0.43971273,-0.66381186,0.031062722,-0.54774153,0.019040838
0.102,-0.13143946,0.4567934,-0.5277088,0.044507593,-0.54072505,0.028630387
