Time_s_,Acc_x_m_s_2_,Acc_y_m_s_2_,Acc_z_m_s_2_,Gyro_x_1_s_,Gyro_y_1_s_,Gyro_z_1_s_
0,-0.3074732,0.31699634,1.4289459,0.1951706,0.3264722,-0.8337441
0.002,-0.29609835,0.29683107,1.5103862,0.18980743,0.340703,-0.83242536
0.004,-0.28700107,0.28122035,1.5917355,0.1832671,0.356335,-0.8311511
0.006,-0.28052765,0.2709099,1.6727927,0.17537199,0.3734155,-0.8299011
0.008,-0.27693284,0.2666722,1.7531035,0.16596045,0.3918994,-0.82862437
0.01,-0.27649942,0.2693361,1.8321418,0.15492806,0.41172424,-0.8272618
0.012,-0.2797987,0.27968782,1.909405,0.1422766,0.43281507,-0.82572985
0.014,-0.28738034,0.29878098,1.984103,0.12808596,0.455064,-0.8239043
0.016,-0.29982105,0.32760435,2.0554185,0.1125897,0.47833905,-0.8215887
0.018,-0.31726536,0.3667237,2.122301,0.09615795,0.5025355,-0.8185256
0.02,-0.33980078,0.4166351,2.1839077,0.07929368,0.5276123,-0.814404
0.022,-0.36767298,0.47753528,2.2394557,0.062593445,0.5536219,-0.80886173
0.024,-0.4013181,0.54960376,2.2881804,0.04671569,0.5807335,-0.8015176
0.026,-0.44104025,0.6328598,2.3292503,0.032309666,0.6092323,-0.79201514
0.028,-0.4869624,0.7267815,2.3617005,0.019654065,0.6402,-0.7799548
0.03,-0.5391983,0.8308263,2.384862,0.009566799,0.6729802,-0.76533383
0.032,-0.59789395,0.94426805,2.398347,0.0023141205,0.70805347,-0.74804986
0.034,-0.6631651,1.0662622,2.4020984,-0.001966551,0.74580646,-0.7280699
0.036,-0.7348552,1.1956215,2.396222,-0.0032972991,0.7864015,-0.7055084
0.038,-0.81270576,1.3308957,2.3806615,-0.0018278658,0.8298038,-0.68060464
0.04,-0.8965298,1.4706523,2.3551903,0.0021140575,0.8757628,-0.65370065
0.042,-0.98590875,1.613028,2.3198903,0.00809443,0.92381775,-0.6252239
0.044,-1.0805511,1.7560989,2.275196,0.015612453,0.97331166,-0.5956518
0.046,-1.179922,1.8980563,2.2221327,0.024094224,1.0233957,-0.5655642
0.048,-1.2833738,2.037133,2.1617181,0.032954246,1.073099,-0.53555423
0.05,-1.3899491,2.1716325,2.095172,0.041609406,1.1213875,-0.5062115
0.052,-1.498728,2.299979,2.0238228,0.04950562,1.1672671,-0.47811764
0.054,-1.6085474,2.4206674,1.9489698,0.056171536,1.2098402,-0.4517975
0.056,-1.7183728,2.5329378,1.8740114,0.06127265,1.2483541,-0.42770103
0.058,-1.8262342,2.6347585,1.7975346,0.06464332,1.2822481,-0.40621126
0.06,-1.930307,2.7250915,1.7204217,0.066274345,1.3111982,-0.3876441
0.062,-2.029027,2.803306,1.6433004,0.06628883,1.3351212,-0.37224734
0.064,-2.1206179,2.869019,1.56697,0.06489551,1.3541163,-0.36018533
0.066,-2.2031124,2.9215581,1.4924612,0.062337458,1.3684603,-0.35156387
0.068,-2.2748384,2.9608753,1.4207844,0.05890876,1.3785763,-0.3464569
0.07,-2.3340425,2.9870665,1.3526115,0.05484736,1.3849919,-0.34490955
0.072,-2.379313,3.0005846,1.2879264,0.05031669,1.3882735,-0.34689927
0.074,-2.4096801,3.002214,1.2259903,0.045408607,1.3889942,-0.35228413
0.076,-2.423283,2.9923735,1.1650457,0.040159702,1.387732,-0.3607515
0.078,-2.4199226,2.9720511,1.1044197,0.034580052,1.3850625,-0.3718179
0.08,-2.3995695,2.9424646,1.0436751,0.028677762,1.381577,-0.3848068
0.082,-2.362068,2.9052055,0.982211,0.022480667,1.3778914,-0.3988751
0.084,-2.3079882,2.8619153,0.9191841,0.016073585,1.374637,-0.41310593
0.086,-2.238313,2.81424,0.8534176,0.009589493,1.3724525,-0.42658573
0.088,-2.1546397,2.7640395,0.7836722,0.0032138824,1.3719492,-0.43841398
0.09,-2.0586379,2.7130725,0.70884514,-0.002788365,1.373703,-0.44777215
0.092,-1.9519677,2.6632116,0.62797403,-0.008094251,1.3781965,-0.45400804
0.094,-1.8362119,2.6159909,0.5399563,-0.012319505,1.3858626,-0.4566546
0.096,-1.7148733,2.5740476,0.4452139,-0.015078306,1.3970779,-0.45542163
0.098,-1.5911952,2.5393703,0.34416565,-0.015956461,1.4121407,-0.45019573
0.1,-1.4670844,2.5132926,0.236339,-0.01453346,1.4312952,-0.44099826
0.102,-1.3448915,2.497113,0.121091425,-0.010425448,1.4546875,-0.42800117
0.104,-1.2275712,2.4918368,-0.001585491,-0.0033028126,1.4823694,-0.41147935
0.106,-1.1175128,2.4980676,-0.13068484,0.007079959,1.5142689,-0.39178824
0.108,-1.0166891,2.5162764,-0.26467615,0.020853043,1.5501657,-0.36936235
0.11,-0.92638695,2.5465322,-0.40178922,0.038015544,1.589687,-0.3447374
0.112,-0.8476188,2.5889232,-0.54030067,0.058443308,1.6323113,-0.31856257
0.114,-0.7813868,2.6427088,-0.67908823,0.08185071,1.6773372,-0.29161212
0.116,-0.7277891,2.7064242,-0.8167896,0.10784125,1.723884,-0.26473218
0.118,-0.68729436,2.7790692,-0.9519621,0.1359201,1.7708726,-0.2388305
0.12,-0.65908146,2.8586957,-1.0818539,0.16550773,1.8170625,-0.21488136
0.122,-0.6437971,2.944527,-1.2058148,0.19592941,1.8611171,-0.19386679
0.124,-0.6413599,3.0353618,-1.3204131,0.22648811,1.9016364,-0.17671677
0.126,-0.6506628,3.1289384,-1.4208784,0.25647926,1.9372013,-0.16431874
0.128,-0.67052156,3.2232661,-1.5056026,0.28517556,1.9665468,-0.15748027
0.13,-0.6980272,3.3157117,-1.5746243,0.3118921,1.9885291,-0.15674907
0.132,-0.7309438,3.4043012,-1.6277096,0.33601135,2.0022411,-0.16239867
0.134,-0.76801145,3.4879699,-1.6639165,0.35702473,2.0071723,-0.17447403
0.136,-0.80773497,3.5658178,-1.6820397,0.37454808,2.0032775,-0.19275689
0.138,-0.8484095,3.6376104,-1.681004,0.3883618,1.9909678,-0.21670794
0.14,-0.88925105,3.7029247,-1.6604863,0.39843804,1.9711013,-0.24556139
0.142,-0.92900926,3.7613647,-1.6210713,0.40496624,1.9449283,-0.27840623
0.144,-0.9666659,3.8126278,-1.5636008,0.40836632,1.9140261,-0.31419605
0.146,-1.0017126,3.8568597,-1.488795,0.40921712,1.8801267,-0.35176814
0.148,-1.0337692,3.894279,-1.3972652,0.40823746,1.8448832,-0.3899484
0.15,-1.0623908,3.9252143,-1.2897778,0.4061557,1.8098226,-0.4276325
0.152,-1.0872293,3.9502606,-1.1679058,0.40370303,1.7763646,-0.46391237
0.154,-1.1077824,3.9698908,-1.0338975,0.40148973,1.7456377,-0.49809211
0.156,-1.1241136,3.9845228,-0.89041543,0.39992958,1.7184985,-0.5296658
0.158,-1.1365638,3.9950356,-0.739734,0.39931262,1.6955751,-0.55835146
0.16,-1.1457815,4.002465,-0.58406293,0.3997802,1.6771991,-0.58415216
0.162,-1.1522622,4.007625,-0.4251471,0.4013424,1.6634512,-0.6072347
0.164,-1.1568413,4.0116954,-0.26451924,0.40388143,1.6541591,-0.6279186
0.166,-1.1603116,4.015541,-0.10348046,0.40720034,1.6489832,-0.6466737
0.168,-1.1631576,4.019863,0.056808442,0.41115522,1.6475458,-0.6640463
0.17,-1.1658233,4.025081,0.21505907,0.41565853,1.6494699,-0.6806276
0.172,-1.168685,4.031278,0.37012848,0.42068738,1.6543362,-0.6969974
0.174,-1.1722974,4.0387793,0.5207344,0.426266,1.6616178,-0.7135931
0.176,-1.1767454,4.0474415,0.66587305,0.43245673,1.6707027,-0.7306741
0.178,-1.1823299,4.0571423,0.8048218,0.43928915,1.680886,-0.74834996
0.18,-1.190005,4.067954,0.9367497,0.44674215,1.6913898,-0.7665387
0.182,-1.1979909,4.078772,1.0619433,0.4546889,1.7013044,-0.7850615
0.184,-1.2047036,4.08854,1.1833724,0.46286052,1.7097768,-0.80378973
0.186,-1.2133094,4.0986514,1.2991719,0.47084987,1.7160323,-0.8225885
0.188,-1.2225841,4.108244,1.4063624,0.47819385,1.7194318,-0.84136784
0.19,-1.2305608,4.1163564,1.5042634,0.4844162,1.7196124,-0.8601869
0.192,-1.2382163,4.1228566,1.5938841,0.4890973,1.7166152,-0.8793081
0.194,-1.2448461,4.126933,1.6760371,0.49194705,1.710877,-0.8991165
0.196,-1.2486961,4.127787,1.750495,0.4928431,1.7031736,-0.92006195
0.198,-1.2486063,4.1249785,1.8165962,0.49187222,1.6944873,-0.94256175
0.2,-1.2439104,4.118265,1.8727069,0.48934332,1.6859087,-0.9669386
0.202,-1.2336777,4.107116,1.9179418,0.48569262,1.678494,-0.99332607
