Time_s_,Acc_x_m_s_2_,Acc_y_m_s_2_,Acc_z_m_s_2_,Gyro_x_1_s_,Gyro_y_1_s_,Gyro_z_1_s_
0,-1.3354994,-0.22907251,-0.73858494,-0.70036876,-0.6356944,-0.833854
0.002,-1.3234859,-0.23999241,-0.72950006,-0.7041487,-0.63902795,-0.8359063
0.004,-1.3099266,-0.25176382,-0.7198304,-0.708242,-0.6427113,-0.838211
0.006,-1.2945881,-0.26460546,-0.70951504,-0.71263224,-0.6467589,-0.8408062
0.008,-1.2772046,-0.27843142,-0.69861066,-0.7172934,-0.65116733,-0.8437129
0.01,-1.2577283,-0.29340056,-0.6870259,-0.7221696,-0.6559322,-0.84695
0.012,-1.2358913,-0.3094184,-0.67494357,-0.7271919,-0.6610329,-0.850516
0.014,-1.2116308,-0.32671064,-0.66235113,-0.7322571,-0.66643804,-0.8543994
0.016,-1.1846483,-0.34514996,-0.6492458,-0.73725533,-0.6721126,-0.8586011
0.018,-1.1548554,-0.3647552,-0.635716,-0.74206823,-0.67800546,-0.8630947
0.02,-1.1221421,-0.38550696,-0.6217978,-0.7465892,-0.6840788,-0.86785
0.022,-1.0864733,-0.4074068,-0.60762835,-0.7507335,-0.6902915,-0.8728236
0.024,-1.0475595,-0.43043113,-0.59325486,-0.7544223,-0.6966114,-0.87796915
0.026,-1.0055164,-0.45434737,-0.57881546,-0.7576135,-0.70302045,-0.8832401
0.028,-0.9603854,-0.47914696,-0.56448084,-0.760452,-0.70967484,-0.88870555
0.03,-0.9119683,-0.5046709,-0.550323,-0.762725,-0.7163488,-0.8941489
0.032,-0.86040694,-0.5307856,-0.53647196,-0.764507,-0.7230558,-0.8995292
0.034,-0.80585784,-0.55727136,-0.52299666,-0.76586705,-0.7298108,-0.90479445
0.036,-0.7483837,-0.58400315,-0.51007134,-0.76689106,-0.73661053,-0.9098834
0.038,-0.68818176,-0.61072385,-0.49780098,-0.76766706,-0.7434513,-0.91474116
0.04,-0.62534434,-0.63716155,-0.48634577,-0.76828676,-0.75032485,-0.9193067
0.042,-0.56026155,-0.6631392,-0.4758168,-0.7688276,-0.75720966,-0.9235407
0.044,-0.4932273,-0.68841404,-0.46629915,-0.7693693,-0.7640725,-0.9273985
0.046,-0.42448497,-0.7127563,-0.45792824,-0.7699921,-0.7708575,-0.9308387
0.048,-0.35445473,-0.7360039,-0.45069903,-0.77074736,-0.77750736,-0.93385243
0.05,-0.28347456,-0.7578932,-0.44471794,-0.7716966,-0.783943,-0.9364236
0.052,-0.21188918,-0.77819425,-0.4399613,-0.7728907,-0.7900584,-0.9385441
0.054,-0.14000294,-0.7967075,-0.4364782,-0.77436423,-0.79574066,-0.94020027
0.056,-0.067405984,-0.8136769,-0.43401253,-0.77615607,-0.80085814,-0.94138527
0.058,0.0046100016,-0.82833314,-0.43286896,-0.77829033,-0.8052869,-0.94208956
0.06,0.07561514,-0.84049153,-0.43317145,-0.78080106,-0.8089079,-0.9422864
0.062,0.145297,-0.8499756,-0.43481356,-0.7837136,-0.8116185,-0.94195706
0.064,0.21315873,-0.85661006,-0.4379364,-0.78706664,-0.81331396,-0.9410679
0.066,0.27916744,-0.86033237,-0.44234505,-0.7908948,-0.81392115,-0.9395726
0.068,0.34283677,-0.8609179,-0.44813815,-0.7952523,-0.8133916,-0.93741184
0.07,0.40404612,-0.8581804,-0.45522714,-0.800183,-0.81168896,-0.9345145
0.072,0.46262217,-0.8520899,-0.46368796,-0.80572844,-0.80881286,-0.9308104
0.074,0.51848584,-0.8425422,-0.47351953,-0.81191987,-0.80474925,-0.92623544
0.076,0.5715449,-0.82954353,-0.484707,-0.81878644,-0.7995128,-0.9207412
0.078,0.62170535,-0.8129103,-0.49729598,-0.8263768,-0.7931143,-0.9142759
0.08,0.66912115,-0.7927706,-0.5113429,-0.8347078,-0.78557277,-0.9068077
0.082,0.7137268,-0.7690383,-0.52679163,-0.84378225,-0.77691615,-0.8983152
0.084,0.7558253,-0.7417543,-0.5436483,-0.85360557,-0.76717454,-0.888811
0.086,0.79528356,-0.71081144,-0.56182605,-0.8641711,-0.75641644,-0.8783144
0.088,0.8323156,-0.6761541,-0.5814499,-0.8754821,-0.7446992,-0.8668859
0.09,0.8672819,-0.6378872,-0.6024475,-0.8875094,-0.7321084,-0.8545894
0.092,0.9003903,-0.5962093,-0.62475294,-0.9002056,-0.7187222,-0.84148866
0.094,0.93194294,-0.55123097,-0.64843315,-0.9135141,-0.7046345,-0.8276602
0.096,0.962111,-0.503116,-0.6733352,-0.92737377,-0.689935,-0.81317425
0.098,0.9910244,-0.45207188,-0.6994052,-0.9416945,-0.67471135,-0.7980885
0.1,1.0188898,-0.3981224,-0.7264273,-0.95637447,-0.6590126,-0.78244746
0.102,1.0458015,-0.34135997,-0.7541658,-0.9712994,-0.6428699,-0.76628006
0.104,1.0717878,-0.28187418,-0.78250176,-0.98631716,-0.6262649,-0.7495985
0.106,1.0966983,-0.21978807,-0.81108624,-1.001267,-0.6091253,-0.7324195
0.108,1.1204342,-0.1551083,-0.83957225,-1.0159843,-0.5913242,-0.7147463
0.11,1.1429164,-0.087925866,-0.868003,-1.0302653,-0.57269555,-0.69657624
0.112,1.1635954,-0.018231183,-0.8963351,-1.0439186,-0.5530393,-0.6779034
0.114,1.1821786,0.05390048,-0.9246067,-1.0567513,-0.5321501,-0.65871847
0.116,1.1980749,0.12870339,-0.95281875,-1.0686064,-0.50983125,-0.6390202
0.118,1.2105991,0.20612755,-0.98096126,-1.079339,-0.4859342,-0.61880845
0.12,1.2191459,0.286452,-1.0089514,-1.0888302,-0.460342,-0.59807545
0.122,1.2229,0.3698229,-1.0364898,-1.0970038,-0.43300158,-0.5767946
0.124,1.2209291,0.45679843,-1.0633731,-1.1038144,-0.40392724,-0.5548817
0.126,1.2121557,0.54749763,-1.0894984,-1.1092716,-0.37318826,-0.5322321
0.128,1.1955469,0.64223176,-1.1147425,-1.1134095,-0.34094104,-0.50868946
0.13,1.1701567,0.74111736,-1.1385051,-1.1162709,-0.3073865,-0.48405936
0.132,1.1347154,0.8444995,-1.1605431,-1.1179019,-0.27278313,-0.45815545
0.134,1.0882635,0.95286614,-1.1815405,-1.1183641,-0.23743549,-0.43080604
0.136,1.0301534,1.0663987,-1.2016113,-1.1177073,-0.20170245,-0.40184733
0.138,0.9597777,1.1856534,-1.2201822,-1.1159724,-0.16598526,-0.37113276
0.14,0.8764632,1.3108103,-1.2371114,-1.1131979,-0.13067368,-0.3385395
0.142,0.77969,1.4423103,-1.2526011,-1.1094135,-0.09620235,-0.3039375
0.144,0.66923654,1.5803595,-1.267655,-1.1046708,-0.06298047,-0.267216
0.146,0.5450548,1.7248013,-1.2822683,-1.0990111,-0.0313925,-0.22825146
