Time_s_,Acc_x_m_s_2_,Acc_y_m_s_2_,Acc_z_m_s_2_,Gyro_x_1_s_,Gyro_y_1_s_,Gyro_z_1_s_
0,-0.056934267,-0.01048031,-0.3178431,-0.08472014,-0.29136562,0.17646176
0.002,-0.08121923,-0.012689341,-0.32972366,-0.0819106,-0.28691584,0.17799036
0.004,-0.107770264,-0.014597846,-0.34089214,-0.078776896,-0.2821513,0.17993864
0.006,-0.13654459,-0.016262136,-0.3510799,-0.07528188,-0.27704805,0.18241262
0.008,-0.16787696,-0.017511353,-0.36035886,-0.071398616,-0.27154827,0.18548274
0.01,-0.20197982,-0.018316679,-0.36885226,-0.06713418,-0.26561475,0.18920363
0.012,-0.23912439,-0.018339403,-0.3761239,-0.062506445,-0.25922024,0.19359319
0.014,-0.28040385,-0.016821213,-0.38071346,-0.057515286,-0.25232485,0.19866422
0.016,-0.32468033,-0.013773203,-0.37998888,-0.05216819,-0.24489184,0.20442787
0.018,-0.3723806,-0.009069577,-0.3772667,-0.046465263,-0.2368642,0.2108815
0.02,-0.4224067,-0.0041250437,-0.3724841,-0.04037656,-0.22818777,0.21799201
0.022,-0.4752802,0.00082974136,-0.36465466,-0.03382685,-0.21883482,0.22574943
0.024,-0.53068787,0.0061795413,-0.35213482,-0.026701838,-0.20879778,0.23417285
0.026,-0.58879554,0.0122924745,-0.3335686,-0.018826008,-0.19810346,0.24328998
0.028,-0.6489563,0.018687278,-0.30873305,-0.009848893,-0.1865454,0.25326306
0.03,-0.71013236,0.024676502,-0.2776291,0.00023991615,-0.17457564,0.2638821
0.032,-0.7720872,0.030245304,-0.23851976,0.011665218,-0.16226591,0.27505785
0.034,-0.834376,0.035079986,-0.19036889,0.024642698,-0.14971638,0.28661636
0.036,-0.89613724,0.03927049,-0.13370085,0.039366268,-0.137081,0.2982738
0.038,-0.95702016,0.042741776,-0.06769469,0.056008942,-0.12458945,0.30971128
0.04,-1.0179044,0.04600957,0.0076483674,0.07465808,-0.11257897,0.3205038
0.042,-1.0762175,0.046599507,0.09191657,0.095315605,-0.101483956,0.33013353
0.044,-1.1289885,0.041915715,0.18363632,0.1178697,-0.0918358,0.33804202
0.046,-1.1739708,0.0338974,0.28203103,0.14210351,-0.084132776,0.34377876
0.048,-1.2135502,0.027431846,0.3844716,0.16781715,-0.0788493,0.34676477
0.05,-1.2513893,0.020632088,0.48433724,0.19472228,-0.076585494,0.34644616
0.052,-1.2849352,0.0050459504,0.58356726,0.22241354,-0.07782301,0.3424787
0.054,-1.3130028,-0.020517945,0.68849015,0.2503688,-0.082898624,0.33471805
0.056,-1.3374854,-0.052043498,0.80092204,0.2781135,-0.09194046,0.32313335
0.058,-1.3556743,-0.08750355,0.9146329,0.305236,-0.10483893,0.30781442
0.06,-1.3662977,-0.12588781,1.024982,0.33132362,-0.12136593,0.2890941
0.062,-1.3696585,-0.16716695,1.1295048,0.35594767,-0.14109166,0.267496
0.064,-1.3663249,-0.212013,1.2275652,0.37874693,-0.16322747,0.2437152
0.066,-1.3564007,-0.2606858,1.3181863,0.3994186,-0.18680365,0.2185621
0.068,-1.3407191,-0.3125661,1.4001565,0.4176903,-0.21073806,0.19287889
0.07,-1.3197297,-0.36713135,1.4722116,0.43327612,-0.23388547,0.16743068
0.072,-1.293866,-0.42410433,1.533487,0.44601932,-0.25506517,0.14289536
0.074,-1.2641283,-0.4832089,1.5832283,0.45595798,-0.27291188,0.12012421
0.076,-1.2307272,-0.54446995,1.621283,0.46288577,-0.2861462,0.10025862
0.078,-1.1936905,-0.6075261,1.647785,0.46639898,-0.2938163,0.08378008
0.08,-1.1530166,-0.67192847,1.6627518,0.4665991,-0.29566947,0.069823764
0.082,-1.1080111,-0.7372035,1.6664397,0.4640326,-0.2919649,0.057765372
0.084,-1.058584,-0.8028883,1.659419,0.45895854,-0.2829682,0.04797765
0.086,-1.0042001,-0.8687791,1.6426299,0.45148966,-0.26909316,0.040479768
0.088,-0.9443415,-0.9348329,1.6172991,0.4419596,-0.25122896,0.034598403
0.09,-0.8784658,-1.0009521,1.5847479,0.43072432,-0.23104537,0.02946789
0.092,-0.80579257,-1.067357,1.5468029,0.4180308,-0.21075037,0.024130512
0.094,-0.7259245,-1.1341919,1.5051441,0.404041,-0.19263095,0.017823033
0.096,-0.63797635,-1.2016256,1.4613422,0.3889202,-0.17868167,0.010187699
0.098,-0.54150707,-1.2697309,1.4166019,0.37300026,-0.17022389,0.0013549514
0.1,-0.43614003,-1.3384135,1.371501,0.3568526,-0.16765834,-0.008193015
0.102,-0.32180196,-1.407414,1.3264534,0.34118438,-0.17011508,-0.017445551
0.104,-0.1983146,-1.476447,1.2820467,0.32692188,-0.17526126,-0.025167286
0.106,-0.06595582,-1.5452948,1.2386508,0.31504956,-0.17969245,-0.030113913
0.108,0.074637234,-1.6135455,1.1964948,0.30648062,-0.17926612,-0.031151766
0.11,0.22268254,-1.6807854,1.155282,0.30183858,-0.16963333,-0.027383365
0.112,0.37714428,-1.7464333,1.1140597,0.30139524,-0.14685842,-0.018366188
0.114,0.53680634,-1.8100305,1.071557,0.30511057,-0.1078919,-0.00425749
0.116,0.70065194,-1.8716891,1.0264834,0.31261382,-0.05108361,0.014332892
0.118,0.8672852,-1.9309342,0.97786194,0.32320866,0.023544982,0.03646305
0.12,1.0349464,-1.9874115,0.9249843,0.3359796,0.11449551,0.061123777
0.122,1.2020928,-2.0410414,0.866758,0.34997123,0.21903378,0.08745892
0.124,1.3673303,-2.0915928,0.8014812,0.36432225,0.3335516,0.11493859
0.126,1.5272937,-2.1381674,0.7273575,0.3781988,0.45395085,0.14334448
0.128,1.6805732,-2.1800368,0.64730513,0.39086148,0.5759896,0.17257532
0.13,1.8251842,-2.2159078,0.56088114,0.40197378,0.6958297,0.2025441
0.132,1.9606192,-2.2461138,0.46628514,0.41128278,0.81028664,0.23379956
0.134,2.0859165,-2.2717772,0.3620902,0.41803095,0.917048,0.2672882
0.136,2.2005424,-2.2935064,0.24858607,0.42141888,1.0143205,0.30262613
0.138,2.3032553,-2.310864,0.12795515,0.42117822,1.1005726,0.33836526
0.14,2.3927865,-2.3233097,0.002514517,0.4171598,1.1749349,0.37369215
0.142,2.469124,-2.3311124,-0.12718636,0.40907052,1.2374432,0.40829197
0.144,2.5322404,-2.334437,-0.25968602,0.39682922,1.2889594,0.44174176
0.146,2.5818434,-2.33369,-0.39237908,0.38068834,1.3306677,0.47370398
0.148,2.618265,-2.329011,-0.5242446,0.3611325,1.3636482,0.5038746
0.15,2.6425772,-2.3209002,-0.65367496,0.33873904,1.3888626,0.5319967
0.152,2.652556,-2.30727,-0.77891463,0.31407818,1.4071422,0.5579933
0.154,2.646747,-2.2868898,-0.8974461,0.2877137,1.4191736,0.58205545
