Time_s_,Acc_x_m_s_2_,Acc_y_m_s_2_,Acc_z_m_s_2_,Gyro_x_1_s_,Gyro_y_1_s_,Gyro_z_1_s_
0,-1.5701294,-0.45313218,-2.1586123,-0.8190416,-2.1628165,-2.1630704
0.002,-1.5186974,-0.40835497,-2.2012403,-0.8322906,-2.1842582,-2.1820917
0.004,-1.4662732,-0.36197096,-2.2473884,-0.8470508,-2.2089844,-2.2031035
0.006,-1.4130874,-0.31401002,-2.2977293,-0.86342937,-2.2374306,-2.2261083
0.008,-1.3595088,-0.26442236,-2.352706,-0.8815464,-2.2700639,-2.251049
0.01,-1.3058684,-0.2132029,-2.4126348,-0.901507,-2.3074079,-2.2778018
0.012,-1.2526852,-0.16015112,-2.47775,-0.9233462,-2.3499093,-2.3061886
0.014,-1.200801,-0.105303645,-2.548173,-0.9470651,-2.397904,-2.3359704
0.016,-1.1507319,-0.04852259,-2.623817,-0.97264993,-2.451702,-2.3668032
0.018,-1.1031988,0.010195255,-2.7044978,-1.0000677,-2.511475,-2.3982568
0.02,-1.059047,0.07069337,-2.7900448,-1.0292373,-2.5771956,-2.4299197
0.022,-1.0191674,0.13307214,-2.8799794,-1.0601044,-2.6488333,-2.4614167
0.024,-0.98450136,0.19726694,-2.9737775,-1.0926472,-2.7264223,-2.4924586
0.026,-0.9559131,0.26331377,-3.0708401,-1.1268626,-2.8100166,-2.5228832
0.028,-0.93415904,0.33115113,-3.1704023,-1.1635382,-2.9011827,-2.55359
0.03,-0.91982037,0.40063155,-3.2713635,-1.201724,-2.9982438,-2.5834448
0.032,-0.9134447,0.47153437,-3.372569,-1.2416391,-3.1016502,-2.613028
0.034,-0.9152593,0.5435226,-3.4726522,-1.2834178,-3.2117162,-2.642929
0.036,-0.9255975,0.6162915,-3.5703945,-1.327125,-3.3285146,-2.673749
0.038,-0.9443114,0.68926823,-3.6643977,-1.3727345,-3.4518523,-2.7060843
0.04,-0.9711796,0.7621608,-3.7531738,-1.4201627,-3.581222,-2.7404578
0.042,-1.0056856,0.83451724,-3.835329,-1.4692732,-3.7157393,-2.7771692
0.044,-1.0472283,0.90598774,-3.9095778,-1.5198582,-3.8540711,-2.8162665
0.046,-1.0949697,0.97610986,-3.9745808,-1.5716546,-3.9945989,-2.8575828
0.048,-1.1475462,1.044212,-4.029416,-1.6244407,-4.1356316,-2.9007926
0.05,-1.2035484,1.1096476,-4.0730324,-1.6780568,-4.27562,-2.9453266
0.052,-1.2613579,1.1716294,-4.1047816,-1.7324164,-4.413114,-2.990479
