Time_s_,Acc_x_m_s_2_,Acc_y_m_s_2_,Acc_z_m_s_2_,Gyro_x_1_s_,Gyro_y_1_s_,Gyro_z_1_s_
0,0.058418423,0.068356365,-0.1761528,-0.7176627,-0.27556354,1.4092884
0.002,0.06249675,0.078128375,-0.16984963,-0.7172841,-0.27730966,1.4118063
0.004,0.06705187,0.08838538,-0.16310997,-0.71674216,-0.27905628,1.4146603
0.006,0.072393894,0.09905408,-0.15633959,-0.7159993,-0.2807483,1.4178804
0.008,0.07852971,0.110290214,-0.14940828,-0.7150159,-0.28233096,1.4215043
0.01,0.08541006,0.12214061,-0.14217295,-0.71376425,-0.2837526,1.4255685
0.012,0.09311326,0.13454652,-0.13459322,-0.7122078,-0.28491202,1.4300698
0.014,0.101585075,0.14740478,-0.1266182,-0.71033156,-0.28572738,1.4350007
0.016,0.11104664,0.16088319,-0.118309885,-0.70813143,-0.28611404,1.4403459
0.018,0.1213941,0.17505498,-0.10964361,-0.70560527,-0.28601402,1.4460834
0.02,0.13257521,0.18983127,-0.100683495,-0.70277727,-0.285395,1.4521568
0.022,0.14475259,0.20527533,-0.09144819,-0.699683,-0.28426462,1.4585172
0.024,0.15792365,0.22144488,-0.082031995,-0.69636154,-0.28264183,1.4651055
0.026,0.1720686,0.23829803,-0.072382085,-0.6928553,-0.2805729,1.4718645
0.028,0.18727502,0.2557631,-0.06258319,-0.68916523,-0.2781558,1.4788909
0.03,0.20345286,0.27383897,-0.052774332,-0.6853773,-0.27539816,1.4859401
0.032,0.22048837,0.29259524,-0.042920493,-0.68152416,-0.27235413,1.4930038
0.034,0.23852505,0.3118897,-0.03307967,-0.6776329,-0.26906824,1.5000653
0.036,0.25746888,0.3317367,-0.02329132,-0.67371416,-0.2655626,1.5071121
0.038,0.27747586,0.35208324,-0.013622999,-0.66977596,-0.2618557,1.5141472
0.04,0.29894683,0.3726806,-0.0037519485,-0.6658238,-0.2579313,1.5211647
0.042,0.32220152,0.39374626,0.007579103,-0.6618623,-0.25374532,1.5281513
0.044,0.34597507,0.4161172,0.021842167,-0.6578771,-0.24927196,1.5351071
0.046,0.36995697,0.44099748,0.038965702,-0.65385556,-0.24446867,1.5420439
0.048,0.39170325,0.47164622,0.05641684,-0.64980024,-0.23932368,1.5489701
0.05,0.4088584,0.51062787,0.0717603,-0.6456988,-0.23384055,1.5558934
0.052,0.4224673,0.5578992,0.08454384,-0.6415581,-0.22803196,1.5628238
0.054,0.43293372,0.612178,0.095764995,-0.63737607,-0.22194391,1.5697762
0.056,0.44018435,0.6721232,0.1069438,-0.6331748,-0.21563658,1.5767488
0.058,0.44366068,0.7356746,0.11835322,-0.62897635,-0.2091724,1.5837446
0.06,0.4428205,0.80343413,0.12980753,-0.624793,-0.20259975,1.5907743
0.062,0.4369844,0.87759954,0.14113888,-0.62063444,-0.195942,1.5978373
0.064,0.42550752,0.9607415,0.15190811,-0.61651236,-0.189203,1.6049446
0.066,0.40792677,1.0545318,0.16129592,-0.61244166,-0.18239637,1.612114
0.068,0.38359848,1.1596236,0.16806406,-0.60843027,-0.1754903,1.61937
0.07,0.3514682,1.2767736,0.17122881,-0.604501,-0.16845794,1.6267338
0.072,0.31005847,1.4064481,0.17030723,-0.6006731,-0.16116527,1.6341916
0.074,0.25811118,1.5486889,0.16505386,-0.5969406,-0.1533691,1.6416724
0.076,0.19466263,1.7034576,0.15563127,-0.5932085,-0.14466166,1.6490847
0.078,0.11923957,1.8696883,0.14184198,-0.58928496,-0.13469723,1.65624
0.08,0.032065153,2.0460043,0.12293193,-0.58491504,-0.123269334,1.6627244
0.082,-0.066072404,2.2308567,0.097596854,-0.5798036,-0.11008713,1.6680074
0.084,-0.17377967,2.422451,0.06413266,-0.57367957,-0.09461608,1.67138
0.086,-0.2894314,2.6184697,0.020781934,-0.56628495,-0.07612074,1.672026
0.088,-0.41123855,2.816296,-0.033358216,-0.5572627,-0.053833194,1.6691821
0.09,-0.53684807,3.0124733,-0.09884161,-0.5461233,-0.027172685,1.6621385
0.092,-0.6638887,3.203324,-0.17493889,-0.5322959,0.004245028,1.6501981
0.094,-0.7896028,3.3853312,-0.26035315,-0.5153128,0.040588073,1.6326969
0.096,-0.91102403,3.5548487,-0.354014,-0.4949952,0.081747964,1.6091752
0.098,-1.0247214,3.7086012,-0.45493546,-0.47151148,0.12726708,1.5796204
0.1,-1.1276448,3.8434465,-0.562247,-0.4453529,0.17627048,1.5446475
0.102,-1.2165265,3.9569438,-0.67461085,-0.4172694,0.22753462,1.5054907
0.104,-1.2887044,4.047394,-0.79032195,-0.3882377,0.27961385,1.4639062
0.106,-1.3418236,4.113704,-0.90751487,-0.35936219,0.3309927,1.4219997
0.108,-1.3742263,4.155655,-1.0241129,-0.33178717,0.38014978,1.38203
0.11,-1.3848469,4.1738186,-1.137697,-0.3065579,0.42556044,1.3461506
0.112,-1.3732921,4.169619,-1.246072,-0.2845447,0.46576393,1.3160713
0.114,-1.3398104,4.1451554,-1.3470613,-0.26641843,0.49940348,1.292836
0.116,-1.285429,4.1031847,-1.4384798,-0.25263572,0.52525586,1.2766863
0.118,-1.2117779,4.046953,-1.5187817,-0.24343947,0.5422785,1.2670597
0.12,-1.1210586,3.9801774,-1.5867205,-0.23888943,0.54968464,1.2628074
0.122,-1.0160388,3.9068456,-1.6413094,-0.23883557,0.54703414,1.262409
0.124,-0.89969444,3.8309221,-1.6819524,-0.24293083,0.5343137,1.2642885
0.126,-0.77540326,3.7561538,-1.70824,-0.25064278,0.5118903,1.2670739
0.128,-0.646435,3.6861897,-1.7202984,-0.26128727,0.48052585,1.269743
0.13,-0.5161064,3.624215,-1.7184033,-0.27411205,0.44132927,1.2716186
0.132,-0.38762158,3.572715,-1.7030685,-0.2883334,0.3958275,1.2724603
0.134,-0.26387072,3.5337377,-1.6750793,-0.3031631,0.3458057,1.2723614
0.136,-0.14741117,3.5088134,-1.6356285,-0.31787917,0.2929572,1.2715073
0.138,-0.040268898,3.498815,-1.5860866,-0.33185425,0.23880422,1.2701176
0.14,0.055882692,3.503917,-1.5276809,-0.34466326,0.18479815,1.268336
0.142,0.13992083,3.5237205,-1.4620585,-0.35613927,0.13247466,1.2661715
0.144,0.21094924,3.5575895,-1.3907093,-0.36633438,0.08345346,1.2636273
0.146,0.2688244,3.6043572,-1.3151904,-0.37536484,0.039232865,1.2608382
0.148,0.31337702,3.6626127,-1.2368958,-0.383265,0.001077503,1.2580607
0.15,0.34481877,3.7308166,-1.1575313,-0.38994265,-0.030006804,1.2555634
0.152,0.36393368,3.8067226,-1.0792922,-0.39527607,-0.053279944,1.2535182
0.154,0.37286532,3.8879569,-1.004009,-0.3992026,-0.06834152,1.2519916
0.156,0.37250304,3.9721625,-0.9315944,-0.4017469,-0.07519013,1.2510307
0.158,0.3656423,4.0558586,-0.8605405,-0.40299344,-0.07427131,1.2506789
0.16,0.35379672,4.1374283,-0.7902707,-0.40308562,-0.06643824,1.2509254
0.162,0.33553994,4.217883,-0.7226817,-0.4022228,-0.052808367,1.2516836
0.164,0.31074703,4.2987194,-0.66032815,-0.40063757,-0.03459549,1.2527919
0.166,0.2801546,4.38105,-0.60505986,-0.39859533,-0.013057649,1.2540618
0.168,0.24461758,4.4643555,-0.55720973,-0.39634907,0.010587908,1.2553201
0.17,0.20521247,4.546365,-0.51634246,-0.39411402,0.035220005,1.256437
0.172,0.16291118,4.624119,-0.48195428,-0.39207724,0.059851877,1.2572916
0.174,0.11851454,4.695329,-0.4532777,-0.39038837,0.0836226,1.2577475
0.176,0.072631,4.759506,-0.4293772,-0.38919872,0.1058103,1.2576655
0.178,0.026067376,4.816981,-0.40904534,-0.38863683,0.12581676,1.2568935
0.18,-0.020216107,4.8682017,-0.39120245,-0.3888253,0.14321515,1.2552981
0.182,-0.06517017,4.913428,-0.37536895,-0.38985097,0.15774213,1.2527791
0.184,-0.10822344,4.9530683,-0.3611608,-0.3917589,0.16930473,1.2492819
0.186,-0.14905298,4.9874763,-0.34817094,-0.39453542,0.17797026,1.2447665
0.188,-0.1877228,5.0172877,-0.33551985,-0.39812225,0.18394835,1.2392459
0.19,-0.22460961,5.042876,-0.32182235,-0.40243298,0.18756145,1.2327411
0.192,-0.26034498,5.0643854,-0.30522656,-0.40739077,0.18922876,1.2253197
0.194,-0.2951771,5.0817842,-0.2841342,-0.41289538,0.18943618,1.2170424
0.196,-0.3290472,5.095179,-0.25698572,-0.41885817,0.18869975,1.2079611
0.198,-0.3617773,5.104843,-0.22328949,-0.42516297,0.18757696,1.1981329
0.2,-0.39301586,5.111313,-0.18332106,-0.4317003,0.18661177,1.1876199
0.202,-0.42236543,5.1150236,-0.13783056,-0.43835884,0.18631384,1.1764629
0.204,-0.4495529,5.116417,-0.08755958,-0.4450152,0.18714467,1.1647004
0.206,-0.4743352,5.11551,-0.032565773,-0.4515693,0.18947028,1.1523582
0.208,-0.4965893,5.112283,0.02734679,-0.45792833,0.19356889,1.1394714
0.21,-0.5160358,5.1067653,0.09252584,-0.46401978,0.19960307,1.1260893
0.212,-0.5326513,5.098866,0.16278934,-0.46977448,0.20763719,1.1122618
0.214,-0.5459951,5.088344,0.23780486,-0.4751383,0.21764228,1.0980572
0.216,-0.5556328,5.075068,0.31699014,-0.48005694,0.22952683,1.0835624
0.218,-0.5613612,5.058958,0.3995874,-0.48450437,0.24316064,1.0688696
0.22,-0.5628309,5.0399203,0.48473394,-0.48847276,0.25838745,1.0540906
0.222,-0.5598506,5.0177774,0.5715723,-0.4919787,0.27507007,1.03933
0.224,-0.55236495,4.9926496,0.65948874,-0.49506742,0.29309905,1.0246937
0.226,-0.540437,4.9646044,0.7477808,-0.4978044,0.31240007,1.0103061
0.228,-0.5239887,4.9337053,0.83579654,-0.5002843,0.33294493,0.99627835
0.23,-0.5032965,4.89997,0.9229349,-0.50260466,0.35472977,0.9827174
0.232,-0.47843647,4.863502,1.0087705,-0.50485927,0.37779048,0.969745
0.234,-0.4498881,4.824618,1.0927432,-0.5071317,0.40214598,0.9574485
0.236,-0.41801,4.783545,1.1742916,-0.50951654,0.42780828,0.94591457
0.238,-0.38329768,4.7405705,1.2530786,-0.5121008,0.45475894,0.9351934
0.24,-0.34620845,4.696065,1.3287189,-0.514971,0.48294166,0.92533106
0.242,-0.3074361,4.650722,1.4007509,-0.518193,0.5122367,0.91633683
0.244,-0.2674898,4.6049232,1.468916,-0.52182144,0.54246646,0.9082039
0.246,-0.2268498,4.559093,1.5330195,-0.5258648,0.57341945,0.9008774
0.248,-0.18628407,4.5136952,1.5929695,-0.5303486,0.60485166,0.8942669
0.25,-0.14602757,4.469105,1.6485898,-0.5352621,0.6365075,0.8882616
0.252,-0.106591225,4.4258103,1.6997162,-0.5405905,0.6680974,0.8827069
0.254,-0.06823933,4.3840127,1.7462406,-0.5462902,0.69933355,0.87744665
0.256,-0.03130567,4.3439116,1.7881026,-0.552303,0.72994226,0.8723203
0.258,0.0041291714,4.3057747,1.82525,-0.55840683,0.7595921,0.8671664
0.26,0.03794217,4.269838,1.8577313,-0.5647864,0.78809154,0.8618302
0.262,0.06992459,4.2362485,1.8856747,-0.5712878,0.8151428,0.856179
0.264,0.100351095,4.2050223,1.9092058,-0.57785773,0.8404829,0.8501101
0.266,0.12934828,4.1761146,1.9282166,-0.58447623,0.86387604,0.8435383
0.268,0.15705192,4.1495914,1.9430221,-0.59113264,0.88512146,0.83639693
0.27,0.1838851,4.125388,1.9535884,-0.5978413,0.90406483,0.8286382
0.272,0.20987582,4.103548,1.9602404,-0.60463,0.9206141,0.82023495
0.274,0.23525107,4.0839276,1.9631038,-0.6115319,0.9347543,0.81116724
0.276,0.2601161,4.066468,1.962388,-0.6185838,0.94653994,0.8014333
0.278,0.28460455,4.051106,1.9581332,-0.6258176,0.95611113,0.79104114
0.28,0.3087418,4.037861,1.9506491,-0.6332562,0.96367204,0.78002125
0.282,0.33254576,4.0265546,1.9400465,-0.6408845,0.9694831,0.7684177
0.284,0.3560226,4.0173316,1.9267594,-0.6486677,0.973846,0.75628537
0.286,0.3789971,4.0100956,1.9110792,-0.65654,0.97708195,0.7436893
