Time_s_,Acc_x_m_s_2_,Acc_y_m_s_2_,Acc_z_m_s_2_,Gyro_x_1_s_,Gyro_y_1_s_,Gyro_z_1_s_
0,-0.5426185,0.33083713,-0.41074488,0.19250603,0.41337168,0.17584646
0.002,-0.536738,0.33086327,-0.41061547,0.19439572,0.4174457,0.17691718
0.004,-0.53059554,0.33147413,-0.4109794,0.19645317,0.42245328,0.17829633
0.006,-0.52436286,0.3329946,-0.41186583,0.19867855,0.42849657,0.17999962
0.008,-0.5177695,0.33541793,-0.4132655,0.20103206,0.43562198,0.18203123
0.01,-0.5107124,0.33895424,-0.41493654,0.20345747,0.44383508,0.18434788
0.012,-0.5030316,0.34372094,-0.41655123,0.20590481,0.453076,0.18686104
0.014,-0.49450314,0.34983754,-0.41774872,0.20828807,0.46315634,0.18945108
0.016,-0.48511553,0.3574401,-0.41806138,0.2104897,0.47376475,0.19200154
0.018,-0.47465688,0.36656827,-0.41692498,0.2123509,0.48449215,0.194354
0.02,-0.46288046,0.37733218,-0.4139908,0.21367227,0.49482375,0.19633853
0.022,-0.44969386,0.38983747,-0.40877885,0.21423385,0.5041636,0.19778499
0.024,-0.43466443,0.40398666,-0.40074295,0.21377996,0.51184547,0.19855663
0.026,-0.41755533,0.41964227,-0.3891801,0.21201444,0.51716685,0.19857028
0.028,-0.3980662,0.43676507,-0.37343675,0.20870303,0.51963586,0.1978161
0.03,-0.37602383,0.45532447,-0.3529593,0.20349465,0.5184478,0.19629067
0.032,-0.35118434,0.47529453,-0.32750264,0.1961774,0.513168,0.19400465
0.034,-0.32330462,0.49656653,-0.29680148,0.18665153,0.5035586,0.1909143
0.036,-0.2920801,0.5190701,-0.26088658,0.17493816,0.48963368,0.18693818
0.038,-0.2574407,0.5426828,-0.21988879,0.16124734,0.47170657,0.18194064
0.04,-0.21928279,0.56721085,-0.1740198,0.1459754,0.45039272,0.17576717
0.042,-0.17766002,0.5924988,-0.12367414,0.12969008,0.42662233,0.16822636
0.044,-0.1327316,0.6183121,-0.069423005,0.11308634,0.40154898,0.15912542
0.046,-0.08454734,0.6444832,-0.012097713,0.09692632,0.37651056,0.14830261
0.048,-0.03342691,0.6707385,0.047185965,0.08198158,0.35288897,0.1356287
0.05,0.020447016,0.6968626,0.10704418,0.068969,0.33201957,0.12102211
0.052,0.076705635,0.72261083,0.16612959,0.058501057,0.3150767,0.104426615
0.054,0.13499609,0.7478963,0.22287019,0.051044166,0.3029827,0.085839696
0.056,0.1957396,0.77296,0.27658874,0.046882093,0.29637495,0.06530196
0.058,0.25752878,0.79752547,0.32465655,0.046126902,0.29554713,0.0429044
0.06,0.32027173,0.821606,0.36521092,0.048724465,0.30049688,0.018775482
0.062,0.38353813,0.845081,0.39663756,0.05449821,0.31093603,-0.006918459
0.064,0.44726253,0.8678144,0.4177001,0.06315586,0.3263128,-0.033952072
0.066,0.5110973,0.88962305,0.42774943,0.07430241,0.34587312,-0.06202615
0.068,0.57492137,0.91068685,0.42635432,0.08749652,0.36874428,-0.09077828
0.07,0.6384424,0.9311539,0.4133432,0.10225911,0.3939373,-0.119800605
0.072,0.7016189,0.9511589,0.38877,0.1180462,0.42035532,-0.14861445
0.074,0.76435524,0.9708339,0.352818,0.13427928,0.44686624,-0.17670523
0.076,0.8263746,0.9903549,0.30605,0.15034954,0.47233737,-0.20357643
0.078,0.887265,1.0100683,0.24944262,0.16564661,0.49567533,-0.22881481
0.08,0.94706094,1.0301628,0.18395512,0.17962137,0.5158557,-0.25211847
0.082,1.0052656,1.0509992,0.1108975,0.19179,0.5319724,-0.27331457
0.084,1.0617293,1.0727986,0.031232163,0.20180474,0.5433136,-0.29234254
0.086,1.116075,1.0960867,-0.05381983,0.20948231,0.54942274,-0.30925307
0.088,1.1675031,1.1212454,-0.14323547,0.2148102,0.55014354,-0.32415453
0.09,1.2154838,1.1483467,-0.23589747,0.21796344,0.5456456,-0.33724838
0.092,1.2595681,1.1774265,-0.33049896,0.21925548,0.5364196,-0.34872803
0.094,1.2992315,1.2084162,-0.42577338,0.21910256,0.5231833,-0.35875842
0.096,1.3337071,1.2418021,-0.52079034,0.21795924,0.50682825,-0.36741918
0.098,1.3622661,1.2781737,-0.61456114,0.21627623,0.48833883,-0.37472838
0.1,1.3843346,1.3183486,-0.70644224,0.21445468,0.46867046,-0.3806642
0.102,1.399189,1.3631053,-0.7961181,0.212793,0.44862533,-0.38519832
0.104,1.4060363,1.4129364,-0.88275516,0.21146548,0.42871612,-0.38830978
0.106,1.4041549,1.4683733,-0.9656772,0.21051423,0.40914163,-0.39001608
0.108,1.3931782,1.529582,-1.0445666,0.2098646,0.3897776,-0.3904022
0.11,1.3725175,1.5966643,-1.1186968,0.20937422,0.3702222,-0.38966578
0.112,1.3418916,1.6695064,-1.1871574,0.20884341,0.34988683,-0.38815233
