Time_s_,Acc_x_m_s_2_,Acc_y_m_s_2_,Acc_z_m_s_2_,Gyro_x_1_s_,Gyro_y_1_s_,Gyro_z_1_s_
0,0.2115873,0.21181324,0.4340701,-0.0788672,0.8642244,-0.75071484
0.002,0.20344922,0.21287873,0.43829906,-0.075270236,0.8639037,-0.75481457
0.004,0.19476725,0.21465585,0.4426846,-0.07116616,0.86365813,-0.75921535
0.006,0.1853717,0.21701065,0.44730985,-0.06649715,0.86353034,-0.76390624
0.008,0.1753233,0.2199584,0.4522817,-0.06120348,0.86354846,-0.76886594
0.01,0.16449048,0.22361282,0.4576538,-0.055237114,0.8637512,-0.77405536
0.012,0.15293665,0.22787935,0.46342894,-0.048563242,0.8641632,-0.7794217
0.014,0.14084297,0.23290367,0.46968734,-0.041182637,0.864782,-0.7849152
0.016,0.12811716,0.23864016,0.47667006,-0.033112884,0.8655841,-0.7904779
0.018,0.11472596,0.2450808,0.48453814,-0.024400651,0.8664999,-0.79607004
0.02,0.10085584,0.25220516,0.49318403,-0.0151283145,0.86742145,-0.8016757
0.022,0.086541735,0.26001504,0.502921,-0.0054033995,0.8681951,-0.807275
0.024,0.07184094,0.26848185,0.5136901,0.004666686,0.86862767,-0.81286
0.026,0.056976624,0.27745423,0.5256821,0.014968276,0.8685342,-0.81844616
0.028,0.04221271,0.2867117,0.5387745,0.025605023,0.8677678,-0.8242692
0.03,0.027822807,0.29618776,0.5529113,0.03623855,0.8661983,-0.83006763
0.032,0.013953482,0.30570078,0.5679537,0.046866834,0.86380863,-0.83586943
0.034,0.0008489769,0.31510195,0.5838112,0.057536423,0.86072147,-0.84170127
0.036,-0.011140259,0.3242127,0.6003062,0.068344414,0.8571539,-0.84755886
0.038,-0.021622546,0.33291936,0.6172586,0.07941273,0.8534772,-0.8534158
0.04,-0.030440552,0.34089026,0.63441086,0.09091389,0.85018075,-0.8592236
0.042,-0.03719099,0.34804642,0.65152717,0.103051454,0.8478278,-0.86493504
0.044,-0.041489437,0.3540103,0.66830575,0.11604202,0.8469916,-0.8705059
