Time_s_,Acc_x_m_s_2_,Acc_y_m_s_2_,Acc_z_m_s_2_,Gyro_x_1_s_,Gyro_y_1_s_,Gyro_z_1_s_
0,-0.31992158,-0.22241573,-1.2630618,-0.6559464,-2.6989374,-2.4545672
0.002,-0.30322632,-0.21338531,-1.3231056,-0.66663516,-2.722172,-2.4735484
0.004,-0.28445446,-0.20461574,-1.3862711,-0.67792714,-2.7472394,-2.4944868
0.006,-0.2636274,-0.19622657,-1.4529947,-0.6897112,-2.77399,-2.517369
0.008,-0.24083418,-0.18823686,-1.5234706,-0.70182973,-2.802151,-2.5420804
0.01,-0.21631792,-0.1805414,-1.5980531,-0.7140831,-2.8313022,-2.5684173
0.012,-0.19033064,-0.17300278,-1.6769111,-0.7262466,-2.8609133,-2.5960975
0.014,-0.16294372,-0.16560113,-1.7603195,-0.738091,-2.890447,-2.6247725
0.016,-0.13438892,-0.15825707,-1.8480618,-0.749442,-2.919426,-2.6540408
0.018,-0.105072975,-0.15100479,-1.9400982,-0.76020217,-2.947514,-2.6834927
0.02,-0.07534151,-0.14380968,-2.0363488,-0.7703762,-2.9746299,-2.7127934
0.022,-0.045682475,-0.13658553,-2.1366813,-0.7800611,-3.001019,-2.7417414
0.024,-0.01675278,-0.12925315,-2.240821,-0.7894526,-3.027246,-2.7702615
0.026,0.010899872,-0.12169963,-2.3483744,-0.7987906,-3.0541434,-2.7983842
0.028,0.03649436,-0.113714576,-2.4588656,-0.80876386,-3.083638,-2.827087
0.03,0.059552506,-0.10526961,-2.5719767,-0.8190937,-3.1155467,-2.8555188
0.032,0.079759195,-0.09644997,-2.687124,-0.83004105,-3.1509848,-2.8841946
0.034,0.096389756,-0.08719647,-2.8033392,-0.84181565,-3.1909714,-2.913569
0.036,0.10881464,-0.07735813,-2.9198277,-0.8545505,-3.2362907,-2.9440558
0.038,0.116890654,-0.06699586,-3.0358589,-0.86831355,-3.2874756,-2.9760826
0.04,0.12003289,-0.05600846,-3.150526,-0.8831265,-3.3448844,-3.0100315
0.042,0.11783175,-0.044309974,-3.2626348,-0.8989614,-3.4086828,-3.0461755
0.044,0.11009759,-0.03189838,-3.3711553,-0.9157696,-3.4788404,-3.0846598
0.046,0.09682524,-0.018687606,-3.475007,-0.9335058,-3.5552058,-3.12548
0.048,0.07812138,-0.004639864,-3.5730445,-0.95213753,-3.6375055,-3.1684752
0.05,0.054149017,0.01034224,-3.6642187,-0.97165513,-3.725368,-3.2133675
0.052,0.02502177,0.026331306,-3.7474804,-0.9920849,-3.818336,-3.259779
