Time, 0, Pos_X, 0.0, Pos_Y, 0.0, Pos_Z, 0.0, BFx, 1, 0, 0,                         BFy, 0, -1, 0, BFz, 0, 0, -1
Time, 0.038, Pos_X, -0.0002816683575799999, Pos_Y, 2.4725258351995523e-05, Pos_Z, -0.0006095226000584922, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, -0.9999964151449207, 0.0026776290457580496, BFz, 0.0, -0.002677629045758049, -0.9999964151449208
Time, 0.04, Pos_X, -0.0003028172414399999, Pos_Y, 3.457064330882943e-05, Pos_Z, -0.0007953238666176322, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, -0.9999952875018624, 0.0030700120629155326, BFz, 0.0, -0.0030700120629155326, -0.9999952875018625
Time, 0.042, Pos_X, -0.0003246274431399999, Pos_Y, 4.463761657089463e-05, Pos_Z, -0.0010097714172162728, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, -0.999993595076444, 0.003579078944138077, BFz, 0.0, -0.003579078944138077, -0.999993595076444
Time, 0.044, Pos_X, -0.00034723961747999986, Pos_Y, 5.464940912806896e-05, Pos_Z, -0.0012545040743132698, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, -0.9999911384113401, 0.004209881089944409, BFz, 0.0, -0.004209881089944409, -0.9999911384113399
Time, 0.046, Pos_X, -0.0003708150169599999, Pos_Y, 6.430794468783869e-05, Pos_Z, -0.0015310423264517186, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, -0.9999876718712878, 0.004965491460226761, BFz, 0.0, -0.004965491460226761, -0.9999876718712876
Time, 0.048, Pos_X, -0.00039553576783999994, Pos_Y, 7.329697170007172e-05, Pos_Z, -0.0018407783013653636, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, -0.9999829087748989, 0.005846550956932794, BFz, 0.0, -0.005846550956932794, -0.9999829087748987
Time, 0.05, Pos_X, -0.00042160576185999997, Pos_Y, 8.128481052113392e-05, Pos_Z, -0.0021849683102261254, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, -0.9999765321993862, 0.006850916032919758, BFz, 0.0, -0.006850916032919758, -0.9999765321993859
Time, 0.052, Pos_X, -0.0004492525149799999, Pos_Y, 8.792665800985624e-05, Pos_Z, -0.002564727719387794, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, -0.999968209528837, 0.00797370250840563, BFz, 0.0, -0.00797370250840563, -0.9999682095288367
Time, 0.054, Pos_X, -0.00047872926849999996, Pos_Y, 9.286672752040124e-05, Pos_Z, -0.0029810288469039447, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, -0.9999576096019839, 0.009207551199273864, BFz, 0.0, -0.009207551199273863, -0.9999576096019835
Time, 0.056, Pos_X, -0.00051030949326, Pos_Y, 9.574743640891143e-05, Pos_Z, -0.003434716605384903, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, -0.9999444217243156, 0.010542934241689087, BFz, 0.0, -0.010542934241689087, -0.9999444217243154
