Time, 0, Pos_X, 0.0, Pos_Y, 0.0, Pos_Z, 0.0, BFx, 1.0, 0.0, 0.0,                         BFy, 0.0, 1.0, 0.0, BFz, 0.0, 0.0, 1.0
Time, 0.0, Pos_X, 0.0, Pos_Y, 0.0, Pos_Z, 0.0, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 1.0, 0.0, BFz, 0.0, 0.0, 1.0
Time, 0.002, Pos_X, 4.9693604e-10, Pos_Y, -1.2268608933281467e-07, Pos_Z, 1.4427445655231355e-07, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999999712333697, -0.0002398609177000032, BFz, 0.0, 0.0002398609177000032, 0.9999999712333697
Time, 0.004, Pos_X, 2.1334692119999998e-08, Pos_Y, -5.014538616652726e-07, Pos_Z, 5.533958381999824e-07, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999998851041194, -0.0004793659856409402, BFz, 0.0, 0.0004793659856409402, 0.9999998851041195
Time, 0.006, Pos_X, 1.053343762e-07, Pos_Y, -1.1581935316721877e-06, Pos_Z, 1.1825359489263464e-06, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999997420624847, -0.0007182443622459383, BFz, 0.0, 0.0007182443622459383, 0.9999997420624849
Time, 0.008, Pos_X, 2.9740297027999995e-07, Pos_Y, -2.114903115865252e-06, Pos_Z, 1.9965052409234576e-06, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999995430196409, -0.0009560128183736129, BFz, 0.0, 0.0009560128183736129, 0.9999995430196411
Time, 0.01, Pos_X, 6.360781963599999e-07, Pos_Y, -3.392338941901449e-06, Pos_Z, 2.9704852588957897e-06, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999992896017883, -0.0011919714417417927, BFz, 0.0, 0.0011919714417417927, 0.9999992896017885
Time, 0.012, Pos_X, 1.1555518624399998e-06, Pos_Y, -5.010804292018136e-06, Pos_Z, 4.079451719533978e-06, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999989844290432, -0.0014251809995423266, BFz, 0.0, 0.0014251809995423266, 0.9999989844290433
Time, 0.014, Pos_X, 1.8915868425199998e-06, Pos_Y, -6.990276542908518e-06, Pos_Z, 5.285690568101718e-06, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999986312727586, -0.001654524889135157, BFz, 0.0, 0.0016545248891351569, 0.9999986312727585
Time, 0.016, Pos_X, 2.8832665506e-06, Pos_Y, -9.347588687853041e-06, Pos_Z, 6.531145604699414e-06, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999982350030907, -0.0018788269486246334, BFz, 0.0, 0.0018788269486246332, 0.9999982350030905
Time, 0.018, Pos_X, 4.172210146679999e-06, Pos_Y, -1.2093815988305636e-05, Pos_Z, 7.737099796629997e-06, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999978012677947, -0.002097012059075998, BFz, 0.0, 0.0020970120590759977, 0.9999978012677946
Time, 0.02, Pos_X, 5.8005550427600005e-06, Pos_Y, -1.5233521918903472e-05, Pos_Z, 8.808750775424427e-06, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999973359432809, -0.002308269122211194, BFz, 0.0, 0.0023082691222111934, 0.9999973359432808
Time, 0.022, Pos_X, 7.809879198839999e-06, Pos_Y, -1.8765525656238898e-05, Pos_Z, 9.640408805016437e-06, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999968448030778, -0.0025120477479948907, BFz, 0.0, 0.0025120477479948903, 0.9999968448030777
Time, 0.024, Pos_X, 1.024038251492e-05, Pos_Y, -2.268345997208192e-05, Pos_Z, 1.0118865178729984e-05, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999963331206886, -0.0027080888419168283, BFz, 0.0, 0.002708088841916828, 0.9999963331206885
Time, 0.026, Pos_X, 1.3129415031e-05, Pos_Y, -2.6975575491848158e-05, Pos_Z, 1.012421470392994e-05, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999958055818959, -0.00289634573449821, BFz, 0.0, 0.0028963457344982095, 0.9999958055818959
Time, 0.028, Pos_X, 1.651063280708e-05, Pos_Y, -3.162462291517362e-05, Pos_Z, 9.529102680628946e-06, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999952675638737, -0.0030764996108781787, BFz, 0.0, 0.0030764996108781782, 0.9999952675638737
Time, 0.03, Pos_X, 2.0413343563159996e-05, Pos_Y, -3.660727820209502e-05, Pos_Z, 8.197336152963453e-06, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999947245838728, -0.0032482001821187378, BFz, 0.0, 0.0032482001821187373, 0.999994724583873
Time, 0.032, Pos_X, 2.486210313924e-05, Pos_Y, -4.189270851348192e-05, Pos_Z, 5.982640562782445e-06, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999941832658265, -0.003410782096780352, BFz, 0.0, 0.0034107820967803518, 0.9999941832658265
Time, 0.034, Pos_X, 2.9876535295320006e-05, Pos_Y, -4.7441543946591425e-05, Pos_Z, 2.7286121027303593e-06, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999936540150207, -0.003562573463968307, BFz, 0.0, 0.0035625734639683064, 0.9999936540150207
Time, 0.036, Pos_X, 3.547048815139999e-05, Pos_Y, -5.3205331914230987e-05, Pos_Z, -1.7302437866021377e-06, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999931544757024, -0.003700135366854694, BFz, 0.0, 0.0037001353668546936, 0.9999931544757024
Time, 0.038, Pos_X, 4.1650905167479994e-05, Pos_Y, -5.912614931604249e-05, Pos_Z, -7.56714296488081e-06, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999927082634086, -0.0038188244280189867, BFz, 0.0, 0.0038188244280189867, 0.9999927082634086
Time, 0.04, Pos_X, 4.841738800356e-05, Pos_Y, -6.513672708833308e-05, Pos_Z, -1.4961453100836891e-05, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999923432967966, -0.003913227284496115, BFz, 0.0, 0.003913227284496115, 0.9999923432967965
