Time, 0, Pos_X, 0.0, Pos_Y, 0.0, Pos_Z, 0.0, BFx, 1.0, 0.0, 0.0,                         BFy, 0.0, 1.0, 0.0, BFz, 0.0, 0.0, 1.0
Time, 0.0, Pos_X, 0.0, Pos_Y, 0.0, Pos_Z, 0.0, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 1.0, 0.0, BFz, 0.0, 0.0, 1.0
Time, 0.002, Pos_X, 2.3890066e-06, Pos_Y, -3.7798348170945937e-07, Pos_Z, 2.5294944301134986e-06, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999982915768586, -0.0018484705473426608, BFz, 0.0, 0.0018484705473426606, 0.9999982915768585
Time, 0.004, Pos_X, 9.5645012e-06, Pos_Y, -1.444368234810881e-06, Pos_Z, 1.007268747390003e-05, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999930281661813, -0.0037341155620980804, BFz, 0.0, 0.00373411556209808, 0.9999930281661812
Time, 0.006, Pos_X, 2.15428278e-05, Pos_Y, -3.0588091818306988e-06, Pos_Z, 2.2536946099167372e-05, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999839769589707, -0.0056609032248446725, BFz, 0.0, 0.005660903224844672, 0.9999839769589706
Time, 0.008, Pos_X, 3.8339467000000004e-05, Pos_Y, -5.069603244514032e-06, Pos_Z, 3.9826564040412515e-05, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999708685723778, -0.007632955299508022, BFz, 0.0, 0.007632955299508022, 0.9999708685723777
Time, 0.01, Pos_X, 5.9969576400000003e-05, Pos_Y, -7.312349694669402e-06, Pos_Z, 6.184444267433848e-05, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999533944803053, -0.00965447395327859, BFz, 0.0, 0.00965447395327859, 0.9999533944803054
Time, 0.012, Pos_X, 8.644843420000001e-05, Pos_Y, -9.610688750694256e-06, Pos_Z, 8.849310665854496e-05, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999312066268036, -0.011729535961150134, BFz, 0.0, 0.011729535961150136, 0.9999312066268037
Time, 0.014, Pos_X, 0.00011779206040000001, Pos_Y, -1.1778475866716649e-05, Pos_Z, 0.00011967504296410972, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999039187745139, -0.013861934185728857, BFz, 0.0, 0.013861934185728857, 0.9999039187745139
Time, 0.016, Pos_X, 0.0001540175194, Pos_Y, -1.3621178376119587e-05, Pos_Z, 0.00015529339036001534, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9998711084927115, -0.0160551051555338, BFz, 0.0, 0.0160551051555338, 0.9998711084927114
Time, 0.018, Pos_X, 0.00019514232399999996, Pos_Y, -1.493575729524092e-05, Pos_Z, 0.00019525353883197312, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.999832320370794, -0.01831204909214514, BFz, 0.0, 0.018312049092145146, 0.9998323203707938
