Time, 0.036, Pos_X, -0.000109687003846     , Pos_Y, -0.00014643778050614352, Pos_Z, -0.001134591535873952  , BFx, 1.0, 0.0, 0.0, BFy, 0.0, 0.9966150457973664   , 0.08220979558612548   , BFz, 0.0, -0.08220979558612554 , 0.9966150457973663
Time, 0.038, Pos_X, -0.000116041474422     , Pos_Y, -0.0001646278213553175 , Pos_Z, -0.0012869012732153408 , BFx, 1.0, 0.0, 0.0, BFy, 0.0, 0.9961732189959133   , 0.0874009024857258    , BFz, 0.0, -0.08740090248572584 , 0.9961732189959133
Time, 0.04 , Pos_X, -0.00012192209791      , Pos_Y, -0.00018417751932846464, Pos_Z, -0.0014515113337355931 , BFx, 1.0, 0.0, 0.0, BFy, 0.0, 0.9956961201756195   , 0.09267813262694309   , BFz, 0.0, -0.09267813262694312 , 0.9956961201756196
Time, 0.042, Pos_X, -0.000127326992118     , Pos_Y, -0.00020515069995163588, Pos_Z, -0.001628870086067585  , BFx, 1.0, 0.0, 0.0, BFy, 0.0, 0.9951817544884771   , 0.0980473127282729    , BFz, 0.0, -0.09804731272827293 , 0.9951817544884772
Time, 0.044, Pos_X, -0.000132276027646     , Pos_Y, -0.0002276132359143009 , Pos_Z, -0.0018194134657677473 , BFx, 1.0, 0.0, 0.0, BFy, 0.0, 0.9946280020690278   , 0.1035139483363149    , BFz, 0.0, -0.10351394833631493 , 0.9946280020690279
Time, 0.046, Pos_X, -0.000136811217514     , Pos_Y, -0.00025163243134791784, Pos_Z, -0.0020235607961397377 , BFx, 1.0, 0.0, 0.0, BFy, 0.0, 0.9940326183830022   , 0.10908324156639225   , BFz, 0.0, -0.10908324156639229 , 0.9940326183830024
Time, 0.048, Pos_X, -0.000140996514142     , Pos_Y, -0.0002772762137906548 , Pos_Z, -0.002241710401589395  , BFx, 1.0, 0.0, 0.0, BFy, 0.0, 0.9933932275187358   , 0.11476016521384155   , BFz, 0.0, -0.1147601652138416  , 0.9933932275187359
Time, 0.05 , Pos_X, -0.000144917269976     , Pos_Y, -0.00030461220753954794, Pos_Z, -0.002474235305364317  , BFx, 1.0, 0.0, 0.0, BFy, 0.0, 0.9927073057663156   , 0.12054959592707973   , BFz, 0.0, -0.12054959592707977 , 0.9927073057663156
Time, 0.052, Pos_X, -0.00014867968423599998, Pos_Y, -0.00033370665467414114, Pos_Z, -0.0027214791479051284 , BFx, 1.0, 0.0, 0.0, BFy, 0.0, 0.9919721504674993   , 0.12645652492807294   , BFz, 0.0, -0.12645652492807297 , 0.9919721504674992
Time, 0.054, Pos_X, -0.00015240994910399998, Pos_Y, -0.00036462334054073505, Pos_Z, -0.0029837523165239855 , BFx, 1.0, 0.0, 0.0, BFy, 0.0, 0.9911848481822442   , 0.13248621337309252   , BFz, 0.0, -0.13248621337309252 , 0.9911848481822442
Time, 0.056, Pos_X, -0.00015625396101999998, Pos_Y, -0.0003974211567083468 , Pos_Z, -0.0032613369403314404 , BFx, 1.0, 0.0, 0.0, BFy, 0.0, 0.9903422414275986   , 0.13864431053656273   , BFz, 0.0, -0.13864431053656273 , 0.9903422414275987
Time, 0.058, Pos_X, -0.00016037398047599998, Pos_Y, -0.00043215390774974864, Pos_Z, -0.0035544814290857135 , BFx, 1.0, 0.0, 0.0, BFy, 0.0, 0.989440956884863    , 0.14493651313166553   , BFz, 0.0, -0.14493651313166553 , 0.9894409568848631
Time, 0.06 , Pos_X, -0.00016494416463199997, Pos_Y, -0.0004688714461192743 , Pos_Z, -0.0038633877922733544 , BFx, 1.0, 0.0, 0.0, BFy, 0.0, 0.9884774529500508   , 0.15136817700355262   , BFz, 0.0, -0.1513681770035526  , 0.9884774529500508
Time, 0.062, Pos_X, -0.00017014948646799997, Pos_Y, -0.0005076182075250491 , Pos_Z, -0.004188211583097962  , BFx, 1.0, 0.0, 0.0, BFy, 0.0, 0.9874480462343065   , 0.157944154649831     , BFz, 0.0, -0.15794415464983097 , 0.9874480462343064
Time, 0.064, Pos_X, -0.00017618389486399996, Pos_Y, -0.0005484313656471285 , Pos_Z, -0.0045290629427007486 , BFx, 1.0, 0.0, 0.0, BFy, 0.0, 0.9863489551694625   , 0.1646685720959166    , BFz, 0.0, -0.16466857209591657 , 0.9863489551694624
Time, 0.066, Pos_X, -0.00018324699051999998, Pos_Y, -0.0005913398891636555 , Pos_Z, -0.004886008075225351  , BFx, 1.0, 0.0, 0.0, BFy, 0.0, 0.9851763929126189   , 0.17154438156838397   , BFz, 0.0, -0.17154438156838392 , 0.9851763929126187
Time, 0.068, Pos_X, -0.000191539882296     , Pos_Y, -0.000636364541606386  , Pos_Z, -0.005259070665458075  , BFx, 1.0, 0.0, 0.0, BFy, 0.0, 0.9839266655949147   , 0.17857300112635055   , BFz, 0.0, -0.1785730011263505  , 0.9839266655949144
Time, 0.07 , Pos_X, -0.00020126136827200002, Pos_Y, -0.0006835181734319238 , Pos_Z, -0.005648233117633092  , BFx, 1.0, 0.0, 0.0, BFy, 0.0, 0.9825962933895043   , 0.18575393459414505   , BFz, 0.0, -0.185753934594145   , 0.982596293389504
Time, 0.072, Pos_X, -0.00021260447450799995, Pos_Y, -0.0007328070916044663 , Pos_Z, -0.006053438142190823  , BFx, 1.0, 0.0, 0.0, BFy, 0.0, 0.9811821061339461   , 0.19308463067409695   , BFz, 0.0, -0.1930846306740969  , 0.9811821061339459
Time, 0.074, Pos_X, -0.00022575224904399996, Pos_Y, -0.0007842329658080231 , Pos_Z, -0.006474591146153861  , BFx, 1.0, 0.0, 0.0, BFy, 0.0, 0.9796813456514496   , 0.20056036742727554   , BFz, 0.0, -0.20056036742727548 , 0.9796813456514494
Time, 0.076, Pos_X, -0.00024087315581999998, Pos_Y, -0.0008377955307261247 , Pos_Z, -0.00691156295452424   , BFx, 1.0, 0.0, 0.0, BFy, 0.0, 0.9780916940603923   , 0.20817453737205838   , BFz, 0.0, -0.20817453737205832 , 0.9780916940603921
Time, 0.078, Pos_X, -0.000258117199476     , Pos_Y, -0.0008934952324724725 , Pos_Z, -0.007364192545527626  , BFx, 1.0, 0.0, 0.0, BFy, 0.0, 0.9764113247794799   , 0.215918792239999     , BFz, 0.0, -0.21591879223999896 , 0.9764113247794797
Time, 0.08 , Pos_X, -0.000277612762012     , Pos_Y, -0.0009513348649570461 , Pos_Z, -0.007832290129916857  , BFx, 1.0, 0.0, 0.0, BFy, 0.0, 0.9746388826403244   , 0.22378348564096176   , BFz, 0.0, -0.2237834856409617  , 0.9746388826403243
Time, 0.082, Pos_X, -0.00029946237954800003, Pos_Y, -0.0010113219977069352 , Pos_Z, -0.008315640732998411  , BFx, 1.0, 0.0, 0.0, BFy, 0.0, 0.9727734841430717   , 0.2317579525024922    , BFz, 0.0, -0.23175795250249215 , 0.9727734841430716
Time, 0.084, Pos_X, -0.00032373784656400005, Pos_Y, -0.0010734726739220987 , Pos_Z, -0.008814008009187788  , BFx, 1.0, 0.0, 0.0, BFy, 0.0, 0.9708146420954875   , 0.23983104614083858   , BFz, 0.0, -0.23983104614083856 , 0.9708146420954874
