Time, 0, Pos_X, 0.0, Pos_Y, 0.0, Pos_Z, 0.0, BFx, 1.0, 0.0, 0.0,                         BFy, 0.0, 1.0, 0.0, BFz, 0.0, 0.0, 1.0
Time, 0.0, Pos_X, 0.0, Pos_Y, 0.0, Pos_Z, 0.0, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 1.0, 0.0, BFz, 0.0, 0.0, 1.0
Time, 0.002, Pos_X, 3.1652817999999995e-07, Pos_Y, -5.2690227794711974e-08, Pos_Z, 8.182294699077377e-07, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999993145868064, -0.0011708227525008062, BFz, 0.0, 0.0011708227525008062, 0.9999993145868062
Time, 0.004, Pos_X, 1.30412688e-06, Pos_Y, -1.938818421596563e-07, Pos_Z, 3.2250299112307384e-06, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999972103752265, -0.0023620418635940496, BFz, 0.0, 0.0023620418635940496, 0.9999972103752264
Time, 0.006, Pos_X, 3.04028744e-06, Pos_Y, -3.8898168364666894e-07, Pos_Z, 7.121929455327587e-06, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.99999360938957, -0.003575077624337748, BFz, 0.0, 0.003575077624337747, 0.99999360938957
Time, 0.008, Pos_X, 5.60581862e-06, Pos_Y, -6.017565026978693e-07, Pos_Z, 1.2404933843585673e-05, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999884262399231, -0.0048111730587931814, BFz, 0.0, 0.004811173058793181, 0.9999884262399231
Time, 0.01, Pos_X, 9.08504256e-06, Pos_Y, -7.941638027759513e-07, Pos_Z, 1.896412056788865e-05, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999815697709875, -0.006071253441527926, BFz, 0.0, 0.006071253441527925, 0.9999815697709875
Time, 0.012, Pos_X, 1.3565508760000001e-05, Pos_Y, -9.261362849900562e-07, Pos_Z, 2.6683680072768535e-05, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.999972945541813, -0.007355826563314723, BFz, 0.0, 0.0073558265633147215, 0.9999729455418132
Time, 0.014, Pos_X, 1.913803232e-05, Pos_Y, -9.553597025876275e-07, Pos_Z, 3.544219697037155e-05, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999624596098734, -0.008664835311272495, BFz, 0.0, 0.008664835311272493, 0.9999624596098735
Time, 0.016, Pos_X, 2.5896513900000002e-05, Pos_Y, -8.369623703434383e-07, Pos_Z, 4.511309127241707e-05, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999500221877313, -0.009997656063011054, BFz, 0.0, 0.009997656063011054, 0.9999500221877315
Time, 0.018, Pos_X, 3.3937746619999994e-05, Pos_Y, -5.233405967463207e-07, Pos_Z, 5.556526233815856e-05, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999355508773939, -0.011353153373454253, BFz, 0.0, 0.01135315337345425, 0.9999355508773942
Time, 0.02, Pos_X, 4.336149066e-05, Pos_Y, 3.587489600169887e-08, Pos_Z, 6.666388644005376e-05, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999189724801517, -0.012729826166775197, BFz, 0.0, 0.012729826166775196, 0.9999189724801519
Time, 0.022, Pos_X, 5.427005423999999e-05, Pos_Y, 8.936793485634127e-07, Pos_Z, 7.827136396135854e-05, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9999002227273889, -0.014126025262490462, BFz, 0.0, 0.01412602526249046, 0.9999002227273892
Time, 0.024, Pos_X, 6.676774668e-05, Pos_Y, 2.1057728768644214e-06, Pos_Z, 9.024803856895082e-05, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9998792421675968, -0.015540305091930402, BFz, 0.0, 0.0155403050919304, 0.9998792421675972
Time, 0.026, Pos_X, 8.096051511999998e-05, Pos_Y, 3.730742561378616e-06, Pos_Z, 0.00010245297530346027, BFx, 1.0, 0.0, 0.0,                             BFy, 0.0, 0.9998559702240318, -0.016971706082712687, BFz, 0.0, 0.01697170608271269, 0.999855970224032
